song_name,og_artist,badword,kb_idx,numOccurKB,og_idx,numOccurOG,data,category,anchored,year,isCensored,isPresent,ogCase1,kbReplace1,jdCheck,forQuiz,noEdit,dropSong,replaceSong
...ready for it?,Taylor Swift,kill,401,0,657,1,first,violence,^kill,2018,1,1,Knew he was a killer first time that I saw him,Knew he was a dancer first time that I saw him,Knew he was a dancer first time that I saw him,,,,
...ready for it?,Taylor Swift,man,401,0,657,1,first,identity,^man$,2018,1,1,"Younger than my exes, but he act like such a man, so","Younger than my exes, but he act like such a fan, so","Younger than my exes, but he act like such a fan, so",,,,
...ready for it?,Taylor Swift,touch,401,0,657,3,first,sexual,^touch,2018,1,1,Touch me and you'll never be alone,Know me and you'll never be alone,Know me and you'll never be alone,,,,
"1, 2 step (ft. missy elliott)",Ciara,chest,NA,0,4,1,first,sexual,^chest,2005,1,1,"Work my body, so melodic, this beat rolls right through my chest (Yup)",NA,,,,Y,
"1, 2 step (ft. missy elliott)",Ciara,bodies,NA,0,4,2,first,sexual,^bodies$,2005,1,1,"Whichever way the beat drops, our bodies will flow (I like this)",NA,,,,Y,
"1, 2 step (ft. missy elliott)",Ciara,retard,NA,0,4,1,first,profanity,^retard,2005,1,1,"So retarded, top charted, ever since the day I started",NA,,,,Y,
"1, 2 step (ft. missy elliott)",Ciara,body,NA,0,4,3,first,sexual,^body$,2005,1,1,"Work my body, so melodic, this beat rolls right through my chest (Yup)",NA,,,,Y,
"1, 2 step (ft. missy elliott)",Ciara,gentlemen,NA,0,4,4,first,identity,^gentlemen$,2005,1,1,Ladies and Gentlemen (Ladies and Gentlemen),NA,,,,Y,
1985,Bowling for Soup,ass,1,0,2,1,first,profanity,^ass$,2005,1,1,She was gonna shake her ass on the hood of Whitesnake’s car,When she turned 24,She was gonna shake it fast on the hood of Whitesnake's car,,,,
1985,Bowling for Soup,high,1,3,2,4,first,alcohol & drugs,^high$,2005,1,1,Her two kids in high school,Her yellow SUV,,,Y,,
24k magic,Bruno Mars,ass,4,0,5,1,first,profanity,^ass$,2016,1,1,Bad bitches and ya ugly ass friends (Haha),Ain't my fault y'all be jocking,CUTS VERSE,,,,
24k magic,Bruno Mars,bitch,4,0,5,1,first,profanity,^bitch,2016,1,1,Bad bitches and ya ugly ass friends (Haha),Ain't my fault y'all be jocking,CUTS VERSE,,,,
