"badword","id","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year"
"addict",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^addict",2015
"addict",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^addict",2011
"addict",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^addict",2004
"addict",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^addict",2001
"addict",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^addict",2019
"addict",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^addict",2013
"alcohol",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^alcohol",2004
"alcohol",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^alcohol",2015
"alcohol",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^alcohol",2019
"alcohol",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^alcohol",2001
"alcohol",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^alcohol",2011
"alcohol",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^alcohol",2013
"amen",1,42,0,"bad blood","Taylor Swift",1,0,"religious","^amen",2015
"amen",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"religious","^amen",2004
"amen",3,348,0,"my love is your love","Whitney Houston",3,0,"religious","^amen",2001
"amen",6,521,0,"till the world ends","Britney Spears",6,0,"religious","^amen",2011
"amen",4,366,0,"old town road","Lil Nas X",4,0,"religious","^amen",2019
"amen",2,186,0,"girl on fire","Alicia Keys",2,0,"religious","^amen",2013
"amnesia",1,42,0,"bad blood","Taylor Swift",1,0,"mental health","^amnesia",2015
"amnesia",3,348,0,"my love is your love","Whitney Houston",3,0,"mental health","^amnesia",2001
"amnesia",2,186,0,"girl on fire","Alicia Keys",2,0,"mental health","^amnesia",2013
"amnesia",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"mental health","^amnesia",2004
"amnesia",4,366,0,"old town road","Lil Nas X",4,0,"mental health","^amnesia",2019
"amnesia",6,521,0,"till the world ends","Britney Spears",6,0,"mental health","^amnesia",2011
"antidepressor",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"mental health","^antideppressor",2004
"antidepressor",3,348,0,"my love is your love","Whitney Houston",3,0,"mental health","^antideppressor",2001
"antidepressor",4,366,0,"old town road","Lil Nas X",4,0,"mental health","^antideppressor",2019
"antidepressor",1,42,0,"bad blood","Taylor Swift",1,0,"mental health","^antideppressor",2015
"antidepressor",6,521,0,"till the world ends","Britney Spears",6,0,"mental health","^antideppressor",2011
