"badword","id","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year"
"antidepressor",2,186,0,"girl on fire","Alicia Keys",2,0,"mental health","^antideppressor",2013
"apeshit",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"profanity","^apeshit",2004
"apeshit",4,366,0,"old town road","Lil Nas X",4,0,"profanity","^apeshit",2019
"apeshit",3,348,0,"my love is your love","Whitney Houston",3,0,"profanity","^apeshit",2001
"apeshit",1,42,0,"bad blood","Taylor Swift",1,0,"profanity","^apeshit",2015
"apeshit",6,521,0,"till the world ends","Britney Spears",6,0,"profanity","^apeshit",2011
"apeshit",2,186,0,"girl on fire","Alicia Keys",2,0,"profanity","^apeshit",2013
"ass",1,42,0,"bad blood","Taylor Swift",1,0,"profanity","^ass$",2015
"ass",3,348,0,"my love is your love","Whitney Houston",3,0,"profanity","^ass$",2001
"ass",2,186,0,"girl on fire","Alicia Keys",2,0,"profanity","^ass$",2013
"ass",6,521,0,"till the world ends","Britney Spears",6,0,"profanity","^ass$",2011
"ass",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"profanity","^ass$",2004
"ass",4,366,0,"old town road","Lil Nas X",4,0,"profanity","^ass$",2019
"ball",1,42,0,"bad blood","Taylor Swift",1,0,"other","^ball",2015
"ball",6,521,0,"till the world ends","Britney Spears",6,0,"other","^ball",2011
"ball",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^ball",2004
"ball",4,366,0,"old town road","Lil Nas X",4,0,"other","^ball",2019
"ball",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^ball",2013
"ball",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^ball",2001
"baller",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^baller",2004
"baller",4,366,0,"old town road","Lil Nas X",4,0,"other","^baller",2019
"baller",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^baller",2013
"baller",1,42,0,"bad blood","Taylor Swift",1,0,"other","^baller",2015
"baller",6,521,0,"till the world ends","Britney Spears",6,0,"other","^baller",2011
"baller",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^baller",2001
"ballin",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^ballin",2004
"ballin",1,42,0,"bad blood","Taylor Swift",1,0,"other","^ballin",2015
"ballin",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^ballin",2001
"ballin",6,521,0,"till the world ends","Britney Spears",6,0,"other","^ballin",2011
"ballin",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^ballin",2013
"ballin",4,366,0,"old town road","Lil Nas X",4,0,"other","^ballin",2019
"bang",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bang$",2015
"bang",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bang$",2001
"bang",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bang$",2011
"bang",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bang$",2013
"bang",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bang$",2004
"bang",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bang$",2019
"bar",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^bar$",2015
"bar",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^bar$",2004
"bar",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^bar$",2013
"bar",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^bar$",2001
"bar",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^bar$",2019
"bar",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^bar$",2011
"bars",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^bars$",2004
"bars",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^bars$",2001
"bars",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^bars$",2015
"bars",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^bars$",2019
"bars",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^bars$",2013
"bars",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^bars$",2011
"bed",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bed$",2001
"bed",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bed$",2015
"bed",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bed$",2013
"bed",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bed$",2004
"bed",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bed$",2011
"bed",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bed$",2019
"bedroom",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bedroom",2004
"bedroom",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bedroom",2015
"bedroom",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bedroom",2019
"bedroom",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bedroom",2001
"bedroom",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bedroom",2013
"bedroom",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bedroom",2011
"beds",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^beds$",2004
"beds",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^beds$",2013
"beds",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^beds$",2019
"beds",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^beds$",2011
"beds",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^beds$",2015
"beds",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^beds$",2001
"beer",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^beer",2004
"beer",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^beer",2015
"beer",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^beer",2001
"beer",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^beer",2019
"beer",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^beer",2013
"beer",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^beer",2011
"bikini",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bikini",2015
"bikini",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bikini",2011
"bikini",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bikini",2004
"bikini",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bikini",2013
"bikini",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bikini",2001
"bikini",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bikini",2019
"bipolar",1,42,0,"bad blood","Taylor Swift",1,0,"mental health","^bipolar",2015
"bipolar",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"mental health","^bipolar",2004
"bipolar",4,366,0,"old town road","Lil Nas X",4,0,"mental health","^bipolar",2019
"bipolar",6,521,0,"till the world ends","Britney Spears",6,0,"mental health","^bipolar",2011
"bipolar",3,348,0,"my love is your love","Whitney Houston",3,0,"mental health","^bipolar",2001
"bipolar",2,186,0,"girl on fire","Alicia Keys",2,0,"mental health","^bipolar",2013
"bitch",3,348,0,"my love is your love","Whitney Houston",3,0,"profanity","^bitch",2001
"bitch",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"profanity","^bitch",2004
"bitch",6,521,0,"till the world ends","Britney Spears",6,0,"profanity","^bitch",2011
"bitch",1,42,0,"bad blood","Taylor Swift",1,0,"profanity","^bitch",2015
"bitch",2,186,0,"girl on fire","Alicia Keys",2,0,"profanity","^bitch",2013
"bitch",4,366,0,"old town road","Lil Nas X",4,0,"profanity","^bitch",2019
"bleed",1,42,0,"bad blood","Taylor Swift",1,0,"violence","^bleed",2015
"bleed",3,348,0,"my love is your love","Whitney Houston",3,0,"violence","^bleed",2001
"bleed",2,186,0,"girl on fire","Alicia Keys",2,0,"violence","^bleed",2013
"bleed",6,521,0,"till the world ends","Britney Spears",6,0,"violence","^bleed",2011
"bleed",4,366,0,"old town road","Lil Nas X",4,0,"violence","^bleed",2019
"bleed",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"violence","^bleed",2004
"bless",6,521,0,"till the world ends","Britney Spears",6,0,"religious","^bless",2011
"bless",1,42,0,"bad blood","Taylor Swift",1,0,"religious","^bless",2015
"bless",2,186,0,"girl on fire","Alicia Keys",2,0,"religious","^bless",2013
"bless",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"religious","^bless",2004
"bless",4,366,0,"old town road","Lil Nas X",4,0,"religious","^bless",2019
"bless",3,348,0,"my love is your love","Whitney Houston",3,0,"religious","^bless",2001
"blew",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^blew$",2015
"blew",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^blew$",2001
"blew",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^blew$",2019
"blew",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^blew$",2011
"blew",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^blew$",2004
"blew",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^blew$",2013
"blood",3,348,0,"my love is your love","Whitney Houston",3,0,"violence","^blood",2001
"blood",6,521,0,"till the world ends","Britney Spears",6,0,"violence","^blood",2011
"blood",1,42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015
"blood",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"violence","^blood",2004
"blood",2,186,0,"girl on fire","Alicia Keys",2,0,"violence","^blood",2013
"blood",4,366,0,"old town road","Lil Nas X",4,0,"violence","^blood",2019
"bloodstain",6,521,0,"till the world ends","Britney Spears",6,0,"violence","^bloodstain",2011
"bloodstain",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"violence","^bloodstain",2004
"bloodstain",2,186,0,"girl on fire","Alicia Keys",2,0,"violence","^bloodstain",2013
"bloodstain",4,366,0,"old town road","Lil Nas X",4,0,"violence","^bloodstain",2019
"bloodstain",3,348,0,"my love is your love","Whitney Houston",3,0,"violence","^bloodstain",2001
"bloodstain",1,42,0,"bad blood","Taylor Swift",1,0,"violence","^bloodstain",2015
"blow",6,521,0,"till the world ends","Britney Spears",6,2,"alcohol & drugs","^blow",2011
"blow",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^blow",2015
"blow",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^blow",2004
"blow",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^blow",2013
"blow",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^blow",2001
"blow",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^blow",2019
"blunt",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^blut",2001
"blunt",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^blut",2004
"blunt",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^blut",2011
"blunt",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^blut",2015
"blunt",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^blut",2019
"blunt",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^blut",2013
"bodies",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bodies$",2015
"bodies",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bodies$",2001
"bodies",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bodies$",2013
"bodies",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bodies$",2011
"bodies",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bodies$",2004
"bodies",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bodies$",2019
"body",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^body$",2001
"body",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^body$",2004
"body",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^body$",2015
"body",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^body$",2011
"body",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^body$",2019
"body",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^body$",2013
"bomb",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"violence","^bomb",2004
"bomb",6,521,0,"till the world ends","Britney Spears",6,0,"violence","^bomb",2011
"bomb",3,348,0,"my love is your love","Whitney Houston",3,0,"violence","^bomb",2001
"bomb",1,42,0,"bad blood","Taylor Swift",1,0,"violence","^bomb",2015
"bomb",2,186,0,"girl on fire","Alicia Keys",2,0,"violence","^bomb",2013
"bomb",4,366,0,"old town road","Lil Nas X",4,0,"violence","^bomb",2019
"boob",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^boob",2015
"boob",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^boob",2013
"boob",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^boob",2011
"boob",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^boob",2004
"boob",4,366,0,"old town road","Lil Nas X",4,1,"sexual","^boob",2019
"boob",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^boob",2001
"booty",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^booty",2004
"booty",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^booty",2015
"booty",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^booty",2011
"booty",4,366,0,"old town road","Lil Nas X",4,1,"sexual","^booty",2019
"booty",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^booty",2001
"booty",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^booty",2013
"bottle",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^bottle",2004
"bottle",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^bottle",2015
"bottle",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^bottle",2001
"bottle",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^bottle",2019
"bottle",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^bottle",2013
"bottle",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^bottle",2011
"bra",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bra$",2015
"bra",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bra$",2001
"bra",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bra$",2011
"bra",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bra$",2004
"bra",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bra$",2019
"bra",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bra$",2013
"bras",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bras$",2011
"bras",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bras$",2001
"bras",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bras$",2015
"bras",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bras$",2004
"bras",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bras$",2013
"bras",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bras$",2019
"breast",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^breast",2011
"breast",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^breast",2001
"breast",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^breast",2015
"breast",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^breast",2019
"breast",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^breast",2013
"breast",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^breast",2004
"bubbles",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^bubbles$",2011
"bubbles",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^bubbles$",2015
"bubbles",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^bubbles$",2001
"bubbles",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^bubbles$",2004
"bubbles",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^bubbles$",2019
"bubbles",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^bubbles$",2013
"bullet",3,348,0,"my love is your love","Whitney Houston",3,0,"violence","^bullet",2001
"bullet",6,521,0,"till the world ends","Britney Spears",6,0,"violence","^bullet",2011
"bullet",1,42,0,"bad blood","Taylor Swift",1,2,"violence","^bullet",2015
"bullet",2,186,0,"girl on fire","Alicia Keys",2,0,"violence","^bullet",2013
"bullet",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"violence","^bullet",2004
"bullet",4,366,0,"old town road","Lil Nas X",4,0,"violence","^bullet",2019
"bun",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^bun$",2001
"bun",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^bun$",2004
"bun",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^bun$",2011
"bun",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^bun$",2019
"bun",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^bun$",2013
"bun",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^bun$",2015
"buns",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^buns$",2011
"buns",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^buns$",2019
"buns",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^buns$",2001
"buns",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^buns$",2004
"buns",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^buns$",2013
"buns",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^buns$",2015
"butt",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^butt$",2013
"butt",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^butt$",2001
"butt",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^butt$",2015
"butt",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^butt$",2004
"butt",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^butt$",2011
"butt",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^butt$",2019
"butts",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^butts$",2013
"butts",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^butts$",2004
"butts",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^butts$",2011
"butts",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^butts$",2019
"butts",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^butts$",2001
"butts",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^butts$",2015
"casino",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^casino",2001
"casino",1,42,0,"bad blood","Taylor Swift",1,0,"other","^casino",2015
"casino",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^casino",2004
"casino",4,366,0,"old town road","Lil Nas X",4,0,"other","^casino",2019
"casino",6,521,0,"till the world ends","Britney Spears",6,0,"other","^casino",2011
"casino",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^casino",2013
"champagne",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^champagne$",2001
"champagne",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^champagne$",2015
"champagne",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^champagne$",2019
"champagne",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^champagne$",2011
"champagne",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^champagne$",2004
"champagne",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^champagne$",2013
"chest",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^chest",2001
"chest",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^chest",2004
"chest",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^chest",2013
"chest",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^chest",2015
"chest",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^chest",2019
"chest",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^chest",2011
"christ",1,42,0,"bad blood","Taylor Swift",1,0,"religious","^christ$",2015
"christ",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"religious","^christ$",2004
"christ",6,521,0,"till the world ends","Britney Spears",6,0,"religious","^christ$",2011
"christ",4,366,0,"old town road","Lil Nas X",4,0,"religious","^christ$",2019
"christ",2,186,0,"girl on fire","Alicia Keys",2,0,"religious","^christ$",2013
"christ",3,348,0,"my love is your love","Whitney Houston",3,0,"religious","^christ$",2001
"christian",6,521,0,"till the world ends","Britney Spears",6,0,"religious","^christian",2011
"christian",3,348,0,"my love is your love","Whitney Houston",3,0,"religious","^christian",2001
"christian",1,42,0,"bad blood","Taylor Swift",1,0,"religious","^christian",2015
"christian",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"religious","^christian",2004
"christian",4,366,0,"old town road","Lil Nas X",4,0,"religious","^christian",2019
"christian",2,186,0,"girl on fire","Alicia Keys",2,0,"religious","^christian",2013
"chronic",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^chronic",2015
"chronic",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^chronic",2004
"chronic",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^chronic",2011
"chronic",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^chronic",2013
"chronic",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^chronic",2019
"chronic",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^chronic",2001
"cigarette",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^cigarette",2004
"cigarette",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^cigarette",2001
"cigarette",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^cigarette",2013
"cigarette",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^cigarette",2011
"cigarette",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^cigarette",2019
"cigarette",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^cigarette",2015
"clothes",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"sexual","^clothes$",2004
"clothes",1,42,0,"bad blood","Taylor Swift",1,0,"sexual","^clothes$",2015
"clothes",6,521,0,"till the world ends","Britney Spears",6,0,"sexual","^clothes$",2011
"clothes",3,348,0,"my love is your love","Whitney Houston",3,0,"sexual","^clothes$",2001
"clothes",2,186,0,"girl on fire","Alicia Keys",2,0,"sexual","^clothes$",2013
"clothes",4,366,0,"old town road","Lil Nas X",4,0,"sexual","^clothes$",2019
"club",1,42,0,"bad blood","Taylor Swift",1,0,"other","^club$",2015
"club",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^club$",2001
"club",4,366,0,"old town road","Lil Nas X",4,0,"other","^club$",2019
"club",6,521,0,"till the world ends","Britney Spears",6,0,"other","^club$",2011
"club",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^club$",2013
"club",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^club$",2004
"clubs",3,348,0,"my love is your love","Whitney Houston",3,0,"other","^clubs$",2001
"clubs",4,366,0,"old town road","Lil Nas X",4,0,"other","^clubs$",2019
"clubs",2,186,0,"girl on fire","Alicia Keys",2,0,"other","^clubs$",2013
"clubs",6,521,0,"till the world ends","Britney Spears",6,0,"other","^clubs$",2011
"clubs",1,42,0,"bad blood","Taylor Swift",1,0,"other","^clubs$",2015
"clubs",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"other","^clubs$",2004
"cocaine",2,186,0,"girl on fire","Alicia Keys",2,0,"alcohol & drugs","^cocaine$",2013
"cocaine",4,366,0,"old town road","Lil Nas X",4,0,"alcohol & drugs","^cocaine$",2019
"cocaine",6,521,0,"till the world ends","Britney Spears",6,0,"alcohol & drugs","^cocaine$",2011
"cocaine",1,42,0,"bad blood","Taylor Swift",1,0,"alcohol & drugs","^cocaine$",2015
"cocaine",3,348,0,"my love is your love","Whitney Houston",3,0,"alcohol & drugs","^cocaine$",2001
"cocaine",5,495,0,"the first cut is the deepest","Sheryl Crow",5,0,"alcohol & drugs","^cocaine$",2004
