"badword","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"body",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,3,"sexual","^body$",2005,1,1,"Work my body, so melodic, this beat rolls right through my chest (Yup)",NA
"bodies",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,2,"sexual","^bodies$",2005,1,1,"Whichever way the beat drops, our bodies will flow (I like this)",NA
"retard",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,1,"profanity","^retard",2005,1,1,"So retarded, top charted, ever since the day I started",NA
"chest",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,1,"sexual","^chest",2005,1,1,"Work my body, so melodic, this beat rolls right through my chest (Yup)",NA
"ass",1,0,"1985","Bowling for Soup",2,1,"profanity","^ass$",2005,1,1,"She was gonna shake her ass on the hood of Whitesnake’s car","When she turned 24"
"high",1,3,"1985","Bowling for Soup",2,4,"alcohol & drugs","^high$",2005,1,1,"Her two kids in high school","Her yellow SUV"
"ass",4,0,"24k magic","Bruno Mars",5,1,"profanity","^ass$",2016,1,1,"Bad bitches and ya ugly ass friends (Haha)","Ain't my fault y'all be jocking"
"bitch",4,0,"24k magic","Bruno Mars",5,1,"profanity","^bitch",2016,1,1,"Bad bitches and ya ugly ass friends (Haha)","Ain't my fault y'all be jocking"
"bless",4,0,"24k magic","Bruno Mars",5,1,"other","^bless",2016,1,1,"Hashtag blessed","Head to toe soul player"
"gang",4,0,"24k magic","Bruno Mars",5,2,"violence","^gang",2016,1,1,"Gangstas (gangstas)","Why you mad? Fix ya face"
"pimp",4,0,"24k magic","Bruno Mars",5,1,"sexual","^pimp",2016,1,1,"I gotta show 'em how a pimp get it in","Hey kids, come on"
"jesus",4,0,"24k magic","Bruno Mars",5,1,"other","^jesus",2016,1,1,"Got to blame it on Jesus","24 karat magic in the air"
"shit",4,0,"24k magic","Bruno Mars",5,2,"profanity","^shit",2016,1,1,"Ooh shit, I'm a dangerous man with some money in my pocket","Why you mad? Fix ya face"
"man",4,0,"24k magic","Bruno Mars",5,2,"identity","^man$",2016,1,1,"Ooh shit, I'm a dangerous man with some money in my pocket","Why you mad? Fix ya face"
"sip",4,0,"24k magic","Bruno Mars",5,2,"alcohol & drugs","^sip$",2016,1,1,"First, take your sip (sip), do your dip (dip)","Put your pinky rings up to the moon"
"crime",NA,0,"2u (ft. justin bieber)","David Guetta",6,3,"violence","^crime",2017,1,1,"When it comes to you, there's no crime",NA
"bed",NA,0,"2u (ft. justin bieber)","David Guetta",6,1,"sexual","^bed$",2017,1,1,"Ain't gotta wake up to an empty bed",NA
"hell",5,0,"4 minutes","Madonna",7,1,"profanity","^hell$",2008,1,1,"The road to hell is paved with good intentions, yeah",NA
"addict",6,0,"7 rings","Ariana Grande",8,1,"alcohol & drugs","^addict",2019,1,1,"Think retail therapy my new addiction","Think retail therapy my new addition"
"ass",6,0,"7 rings","Ariana Grande",8,1,"profanity","^ass$",2019,1,1,"When you see them racks, they stacked up like my ass, yeah","When you see them racks, they stacked up like real fast, yeah"
"bitch",6,0,"7 rings","Ariana Grande",8,2,"profanity","^bitch",2019,1,1,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
"bottle",6,0,"7 rings","Ariana Grande",8,1,"alcohol & drugs","^bottle",2019,1,1,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
"bubbles",6,0,"7 rings","Ariana Grande",8,1,"alcohol & drugs","^bubbles$",2019,1,1,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
"shit",6,0,"7 rings","Ariana Grande",8,1,"profanity","^shit",2019,1,1,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
"juice",6,0,"7 rings","Ariana Grande",8,1,"alcohol & drugs","^juice$",2019,1,1,"Never mind, I got the juice","Never mind, what is the use?"
"tattoo",6,0,"7 rings","Ariana Grande",8,1,"other","^tattoo",2019,1,1,"Girls with tattoos who like getting in trouble","Girls with a dream who like getting in trouble"
"drink",8,0,"7 years","Lukas Graham",10,1,"alcohol & drugs","^drink",2016,1,1,"By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"liquor",8,0,"7 years","Lukas Graham",10,1,"alcohol & drugs","^liquor",2016,1,1,"By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"smoking",8,0,"7 years","Lukas Graham",10,1,"alcohol & drugs","^smoking",2016,1,1,"By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"woman",8,0,"7 years","Lukas Graham",10,1,"identity","^woman$",2016,1,1,"My woman brought children for me","So I can sing them all my songs and I can tell them stories"
"hell",12,0,"airplanes","B.o.B",14,1,"profanity","^hell$",2011,1,1,"And back when I was rappin' for the hell of it","And back when I was rappin' for the thrill of it"
"shit",12,0,"airplanes","B.o.B",14,1,"profanity","^shit",2011,1,1,"And get back to the music that started this shit?","And get back to the music that started this hit"
"cigarette",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^cigarette",2010,1,1,"Just smoke my cigarette and hush","Alejandro"
"smoke",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^smoke",2010,1,1,"Just smoke my cigarette and hush","Alejandro"
"kiss",13,0,"alejandro","Lady Gaga",15,5,"sexual","^kiss",2010,1,1,"Don't wanna kiss, don't wanna touch","Don't call my name"
"touch",13,0,"alejandro","Lady Gaga",15,5,"sexual","^touch",2010,1,1,"Don't wanna kiss, don't wanna touch","Don't call my name"
"bitch",15,0,"all about that bass","Meghan Trainor",18,1,"profanity","^bitch",2015,1,1,"Go ahead and tell them skinny bitches that","Because you know I'm"
"booty",15,0,"all about that bass","Meghan Trainor",18,11,"sexual","^booty",2015,1,1,"She says, boys like a little more booty to hold at night","I see the magazine workin' that Photoshop"
"shit",15,0,"all about that bass","Meghan Trainor",18,1,"profanity","^shit",2015,1,1,"We know that shit ain't real, come on now, make it stop","But I can shake it, shake it"
"creep",16,1,"all i have","Jennifer Lopez",572,2,"other","^creep",2003,1,1,"Especially me, I was creepin' all over town (Creepin')","That's the way you used to giggle right before I put it down"
"curve",17,0,"all of me","John Legend",19,3,"sexual","^curve",2014,1,1,"Love your curves and all your edges","Your my end and my begining"
"dead",19,0,"all the right moves","OneRepublic",21,1,"violence","^dead$",2010,1,1,"Over the world that's dead","They say everybody knows, everybody knows"
"shit",21,0,"all time low","Jon Bellion",23,6,"profanity","^shit",2017,1,1,"But that shit's broken, that shit's broken","But that thing is broken, that thing is broken"
"lips",21,0,"all time low","Jon Bellion",23,1,"sexual","^lips$",2017,1,1,"Would put your lips on mine and love the aftertaste","We put your hand in mine and love the afterthought now"
"kiss",23,0,"already gone","Kelly Clarkson",25,1,"sexual","^kiss",2010,1,1,"It started with a perfect kiss then","We could feel the power set in"
"poison",23,0,"already gone","Kelly Clarkson",25,1,"violence","^poison",2010,1,1,"We could feel the poison set in","Perfect couldn't keep this love alive"
"clothes",24,1,"american boy","Estelle",27,2,"sexual","^clothes$",2009,1,1,"Dressed in all your fancy clothes","Take me to New York, I'd love to see L.A"
"drink",24,0,"american boy","Estelle",27,1,"alcohol & drugs","^drink",2009,1,1,"Ribena, I know what you're drinking",NA
"crazy",24,0,"american boy","Estelle",27,1,"other","^crazy$",2009,1,1,"He crazy, I know what you thinking",NA
"hell",24,0,"american boy","Estelle",27,1,"profanity","^hell$",2009,1,1,"So to hell with all that rubbish",NA
"fuck",24,0,"american boy","Estelle",27,1,"profanity","fuck",2009,1,1,"Reluctantly, because most of this press don't fuck with me","American boy, American boy, American"
"kill",24,0,"american boy","Estelle",27,1,"violence","^kill",2009,1,1,"Who killing them in the UK?","I really want to come kick it with you"
"kill",30,0,"animal","Neon Trees",30,1,"violence","^kill",2011,1,1,"You're killin' me now","Why can't you understand?"
"man",34,0,"are you gonna be my girl","Jet (band)",33,3,"identity","^man$",2004,1,1,"But you were with another man, yeah","With her get back stare"
"dress",38,3,"attention","Charlie Puth",35,4,"sexual","^dress$",2017,1,1,"I know that dress is karma, perfume regret","I know that dress is karma, filled with regret"
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"fight",40,0,"back to you","Selena Gomez",575,1,"violence","^fight",2018,1,1,"And I could fight, but what's the use?","I'd go back to you"
"bitch",41,0,"bad at love","Halsey",576,1,"profanity","^bitch",2018,1,1,"Now he's gone and he's calling me a bitch again","Now he's gone and he's calling me to talk again"
"jack",41,0,"bad at love","Halsey",576,1,"alcohol & drugs","^jack$",2018,1,1,"And he tastes like Jack when I'm kissing him","And it takes me back when I think of him"
"kiss",41,0,"bad at love","Halsey",576,1,"sexual","^kiss",2018,1,1,"And he tastes like Jack when I'm kissing him","And it takes me back when I think of him"
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"Don't even know what we're fighting for","You know I never wanna hurt you"
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"One word turns into war","One minute it's love and suddenly"
"shit",64,0,"be without you","Mary J. Blige",44,1,"profanity","^shit",2006,1,1,"(Yes) We got real shit","Call the radio if you just can't be without your baby"
"god",48,1,"beautiful (bazzi)","Bazzi",577,2,"other","^god",2019,1,1,"Swear to God that I loved her","Yeah, you know that I loved her"
"naked",48,0,"beautiful (bazzi)","Bazzi",577,3,"sexual","^naked",2019,1,1,"But nothing can compare to when you're naked","But nothing can compare to when you're singing"
"dress",48,0,"beautiful (bazzi)","Bazzi",577,1,"sexual","^dress$",2019,1,1,"The way that dress fall off you is amazing","Oh my gosh, where did the time go?"
"henny",48,0,"beautiful (bazzi)","Bazzi",577,1,"alcohol & drugs","^henny$",2019,1,1,"Now a Backwood and some Henny got you faded","This is all I need to hear to know we made it"
"crime",49,0,"beautiful girls","Sean Kingston",46,1,"violence","^crime",2008,1,1,"Oh, when I went away for doin' my first crime","It was back in '99"
"damn",49,0,"beautiful girls","Sean Kingston",46,4,"profanity","^damn",2008,1,1,"Damn, all these beautiful girls","They only wanna do your dirt"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"You'll have me suicidal, suicidal","When you say it's over"
"champagne",51,0,"beautiful people","Ed Sheeran",48,2,"alcohol & drugs","^champagne$",2019,1,1,"Champagne and rolled-up notes","In pain and no one knows"
"bitch",53,0,"beauty and a beat","Justin Bieber",50,1,"profanity","^bitch",2013,1,1,"Bitches couldn't get on my incline","Baby, do it like you do"
"body",53,2,"beauty and a beat","Justin Bieber",50,4,"sexual","^body$",2013,1,1,"Body rock","When the music makes you move"
"buns",53,0,"beauty and a beat","Justin Bieber",50,1,"sexual","^buns$",2013,1,1,"Buns out, weiner, but I gotta keep an eye out for Selener","It's all about you"
"ink",53,0,"beauty and a beat","Justin Bieber",50,1,"other","^ink$",2013,1,1,"In time, ink lines","When the music makes you move"
"priest",53,0,"beauty and a beat","Justin Bieber",50,1,"other","^priest",2013,1,1,"Beautiful confessions of the priest","(Yeah, yeah, yeah, yeah, let's go, let's go)"
"damn",54,0,"because of you","Kelly Clarkson",578,1,"profanity","^damn",2006,1,1,"For the same damn thing","I learned to stay on the safe side, so I don't get hurt"
"die",54,0,"because of you","Kelly Clarkson",578,1,"violence","^die$",2006,1,1,"I watched you die, I heard you cry every night in your sleep","And now I cry in the middle of the night for the same old thing"
"bullet",57,0,"believer","Imagine Dragons",53,3,"violence","^bullet",2017,1,1,"Pain! Oh, let the bullets fly, oh, let them rain","Pain!"
"dirty",59,0,"best song ever","One Direction",55,1,"sexual","^dirty$",2014,1,1,"Said I had a dirty mouth","Said I had a crooked smile (I got a crooked smile)"
"kiss",59,0,"best song ever","One Direction",55,1,"sexual","^kiss",2014,1,1,"But she kissed me like she meant it","But she said it like she meant it"
"drink",62,0,"better now","Post Malone",57,1,"alcohol & drugs","^drink",2018,1,1,"Drinkin' Henny and I'm tryna forget","Thinkin' heavy and I'm tryna forget (Whoa)"
"henny",62,0,"better now","Post Malone",57,1,"alcohol & drugs","^henny$",2018,1,1,"Drinkin' Henny and I'm tryna forget","Thinkin' heavy and I'm tryna forget (Whoa)"
"shit",62,0,"better now","Post Malone",57,1,"profanity","^shit",2018,1,1,"But I can't get this shit outta my head","But I can't get this stuff outta my head"
"crap",63,0,"beverly hills","Weezer",58,1,"profanity","^crap$",2006,1,1,"My automobile is a piece of crap","My automobile isn't all that great"
"skin",65,0,"big girls don't cry","Fergie",59,1,"sexual","^skin$",2008,1,1,"The smell of your skin lingers on me now","You're probably on your flight back to your hometown"
"damn",66,0,"billionaire","Travie McCoy",60,1,"profanity","^damn",2010,1,1,"And damn sure do a lot more than FEMA did","And not a single tummy around me would know what hungry was"
"fuck",66,0,"billionaire","Travie McCoy",60,3,"profanity","fuck",2010,1,1,"I wanna be a billionaire so fucking bad","I wanna be a billionaire so very bad"
"shit",66,0,"billionaire","Travie McCoy",60,1,"profanity","^shit",2010,1,1,"And adopt a bunch of babies that ain't never had shit","Then I'll compliment him on his political etiquette"
"high",69,0,"blank space","Taylor Swift",580,3,"alcohol & drugs","^high$",2015,1,1,"If the high was worth the pain","Got a long list of some others"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane","'Cause you know I love the haters"
"drunk",69,0,"blank space","Taylor Swift",580,1,"alcohol & drugs","^drunk",2015,1,1,"I get drunk on jealousy","'Cause, darling, It's a nightmare dressed like a daydream"
"god",69,0,"blank space","Taylor Swift",580,2,"other","^god",2015,1,1,"""Oh my God, look at that face","Oh my Gosh, look at that face"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding","Keep bleeding, keep, keep bleeding love"
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"You cut me open and I","Keep bleeding, keep, keep bleeding love"
"apeshit",72,0,"boom boom pow","The Black Eyed Peas",64,1,"profanity","^apeshit",2009,1,1,"When I step inside the room, them girls go apeshit, mmm","Y'all gettin' hit with boom, boom"
"dies",72,0,"boom boom pow","The Black Eyed Peas",64,1,"violence","^dies$",2009,1,1,"The Energy Never Dies","Boom, boom, boom, gotta get, get"
"sex",72,0,"boom boom pow","The Black Eyed Peas",64,1,"sexual","^sex",2009,1,1,"Sexy ladies, extra longer","This beat go boom, boom"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"That digital spit, next level visual shit","Boom, boom, boom, gotta get, get"
"gay",74,0,"born this way","Lady Gaga",66,1,"identity","^gay$",2011,1,1,"No matter gay, straight, or bi",NA
"god",74,1,"born this way","Lady Gaga",66,3,"other","^god",2011,1,1,"'Cause God makes no mistakes","I WAS BORN THIS WAY"
"lesbian",74,0,"born this way","Lady Gaga",66,1,"identity","^lesbian",2011,1,1,"Lesbian, transgender life",NA
"transgender",74,0,"born this way","Lady Gaga",66,1,"identity","^transgender",2011,1,1,"Lesbian, transgender life",NA
"fuck",76,0,"boulevard of broken dreams","Green Day",582,1,"profanity","fuck",2005,1,1,"What's fucked up, and everything's all right","That divides me somewhere in my mind"
"drug",78,0,"brave","Sara Bareilles",583,1,"alcohol & drugs","^drug",2014,1,1,"You can turn a phrase into a weapon or a drug","You can turn a phrase into a put-down or a hug"
"weapon",78,0,"brave","Sara Bareilles",583,1,"violence","^weapon",2014,1,1,"You can turn a phrase into a weapon or a drug","You can turn a phrase into a put-down or a hug"
"crazy",NA,0,"​break up with your girlfriend, i'm bored","Ariana Grande",72,1,"other","^crazy$",2019,1,1,"You could call me crazy 'cause I want you",NA
"shit",NA,0,"​break up with your girlfriend, i'm bored","Ariana Grande",72,1,"profanity","^shit",2019,1,1,"This shit always happen to me (Yeah)",NA
"fuck",NA,0,"​break up with your girlfriend, i'm bored","Ariana Grande",72,2,"profanity","fuck",2019,1,1,"Took one fuckin' look at your face (Hmm)",NA
"pray",79,2,"breakaway","Kelly Clarkson",74,4,"other","^pray",2005,1,1,"I would pray (I would pray)","I would pray"
"god",80,0,"breakeven","The Script",75,2,"other","^god",2010,1,1,"Just praying to a God that I don't believe in","Just praying to a thing that i don't believe in"
"man",80,0,"breakeven","The Script",75,1,"identity","^man$",2010,1,1,"She finally met a man that's gonna put her first","She finally met a boy that's gonna put her first"
"medicate",83,0,"breathin","Ariana Grande",76,1,"other","^medicate",2018,1,1,"I can so over-complicate, people tell me to medicate","How did I know this is fabricated? Oh"
"shit",83,0,"breathin","Ariana Grande",76,2,"profanity","^shit",2018,1,1,"I know that all this shit's fabricated","Don't know what else to try, but you tell me every time"
"spirits",85,0,"bring me to life","Evanescence",585,1,"alcohol & drugs","^spirits$",2003,1,1,"My spirit's sleeping somewhere cold","Where I've become so numb"
"high",NA,0,"bts - 작은 것들을 위한 시 (boy with luv) ft. halsey (romanized)","Genius Romanizations",68,1,"alcohol & drugs","^high$",2019,1,1,"You got me high so fast",NA
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","Been there"
"dress",89,1,"burnin' up","Jonas Brothers",587,2,"sexual","^dress$",2009,1,1,"High heels (High heels), red dress (Red dress)","All by yourself, gotta catch my breath"
"high",89,1,"burnin' up","Jonas Brothers",587,2,"alcohol & drugs","^high$",2009,1,1,"High heels (High heels), red dress (Red dress)","All by yourself, gotta catch my breath"
"man",89,0,"burnin' up","Jonas Brothers",587,1,"identity","^man$",2009,1,1,"Baby, who turned the temperature hotter? (Come on, man)","And I'm tryin' to keep from goin' under"
"god",91,0,"cake by the ocean","DNCE",81,1,"other","^god",2016,1,1,"Goddamn","Want another taste, I'm saying, ""Oh yeah"""
"damn",91,0,"cake by the ocean","DNCE",81,1,"profanity","^damn",2016,1,1,"Ah, ya, ya, ya, ya I keep on hopin' we'll eat cake by the ocean (I keep on hopin', hot damn)",NA
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go fucking crazy","Walk with me, baby"
"ass",92,0,"california gurls","Katy Perry",82,1,"profanity","^ass$",2010,1,1,"All that ass hanging out","California"
"bikini",92,0,"california gurls","Katy Perry",82,4,"sexual","^bikini",2010,1,1,"Daisy Dukes, bikinis on top","California gurls, we're unforgettable"
"buns",92,0,"california gurls","Katy Perry",82,1,"sexual","^buns$",2010,1,1,"Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"creep",92,0,"california gurls","Katy Perry",82,1,"other","^creep",2010,1,1,"Trying to creep a little sneak peek (At us)","Tryna act a little crazy"
"freak",92,0,"california gurls","Katy Perry",82,2,"sexual","^freak",2010,1,1,"We freak in my Jeep ​*horn honks*​","(Oh, oh-oh, oh-oh, oh-oh)"
"man",92,0,"california gurls","Katy Perry",82,1,"identity","^man$",2010,1,1,"California gurls, man",NA
"martini",92,0,"california gurls","Katy Perry",82,1,"alcohol & drugs","^martini",2010,1,1,"Bikinis, zucchinis, martinis, no weenies","California gurls"
"skin",92,0,"california gurls","Katy Perry",82,3,"sexual","^skin$",2010,1,1,"Sun-kissed skin so hot, we'll melt your popsicle","Fine, fresh, fierce, we got it on lock"
"gin",92,0,"california gurls","Katy Perry",82,1,"alcohol & drugs","^gin$",2010,1,1,"Sipping gin and juice","Laying underneath the palm trees"
"kiss",92,0,"california gurls","Katy Perry",82,1,"sexual","^kiss",2010,1,1,"Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"sex",92,0,"california gurls","Katy Perry",82,2,"sexual","^sex",2010,1,1,"Sex (Sex) on the beach","West Coast represent, now put your hands up"
"touch",92,0,"california gurls","Katy Perry",82,1,"sexual","^touch",2010,1,1,"Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"skin",93,0,"call me maybe","Carly Rae Jepsen",83,2,"sexual","^skin$",2012,1,1,"Ripped jeans, skin was showin'","Ripped jeans, smile was showin'"
"body",96,6,"can't stop the feeling!","Justin Timberlake",86,8,"sexual","^body$",2016,1,1,"I feel that hot blood in my body when it drops (ooh)","I feel that hot blood in my body when it drops, ooh"
"creep",96,0,"can't stop the feeling!","Justin Timberlake",86,3,"other","^creep",2016,1,1,"A feeling good, good, creeping up on you","A feeling good, good, dancing here with you"
"drink",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^drink",2017,1,1,"We'd buy cheap spirits and drink them straight","We'd buy cheap toys and then they'd break"
"cigarette",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^cigarette",2017,1,1,"Fifteen years old and smoking hand-rolled cigarettes","Once we got older, hoping the fun never ends"
"clothes",97,0,"castle on the hill","Ed Sheeran",588,1,"sexual","^clothes$",2017,1,1,"One friend left to sell clothes","And I'm on my way, I still remember"
"drunk",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^drunk",2017,1,1,"Running from the law through the backfields and getting drunk with my friends","Running down the road through the back fields and hanging out with my friends"
"smoking",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^smoking",2017,1,1,"Fifteen years old and smoking hand-rolled cigarettes","Once we got older, hoping the fun never ends"
"kiss",97,0,"castle on the hill","Ed Sheeran",588,1,"sexual","^kiss",2017,1,1,"Had my first kiss on a Friday night, I don't reckon that I did it right","Had my first job on a Friday night, I don't reckon I did it right"
"spirits",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^spirits$",2017,1,1,"We'd buy cheap spirits and drink them straight","We'd buy cheap toys and then they'd break"
"overdose",97,0,"castle on the hill","Ed Sheeran",588,1,"alcohol & drugs","^overdose",2017,1,1,"One's brother overdosed","And I miss the way you make me feel, it's real"
"drink",99,0,"chained to the rhythm","Katy Perry",589,5,"alcohol & drugs","^drink",2017,1,1,"Drink, this one is on me","Dance, this one is on me"
"high",99,0,"chained to the rhythm","Katy Perry",589,1,"alcohol & drugs","^high$",2017,1,1,"Ay, up in your high place, liars","Come on, turn it up, keep it on repeat"
"bitch",106,0,"close to me","Ellie Goulding & Diplo",97,1,"profanity","^bitch",2019,1,1,"I had to cut my bitch off, she bein' stubborn (Stubborn)","I had to cut my words off, I'm bein' stubborn (Stubborn)"
"body",106,1,"close to me","Ellie Goulding & Diplo",97,7,"sexual","^body$",2019,1,1,"And I don't wanna be somebody without your body","And I don't wanna be somebody without somebody"
