"badword","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood","'Cause, baby, now we got bad blood"
"blow",521,0,"till the world ends","Britney Spears",6,2,"alcohol & drugs","^blow",2011,1,1,"Baby, let me blow your mind tonight","I can't take it, take it, take no more"
"boob",366,0,"old town road","Lil Nas X",4,1,"sexual","^boob",2019,1,1,"Bull ridin' and boobies","Cheated on my baby"
"booty",366,0,"old town road","Lil Nas X",4,1,"sexual","^booty",2019,1,1,"Wrangler on my booty","My life is a movie"
"bullet",42,0,"bad blood","Taylor Swift",1,2,"violence","^bullet",2015,1,1,"Band-aids don't fix bullet holes","Hey"
"cut",42,0,"bad blood","Taylor Swift",1,5,"violence","^cut$",2015,1,1,"You made a really deep cut","And I don't think we can solve them"
"knives",42,0,"bad blood","Taylor Swift",1,1,"violence","^knives",2015,1,1,"Still got scars in my back from your knives","Hey"
"lord",348,1,"my love is your love","Whitney Houston",3,2,"other","^lord$",2001,1,1,"And the Lord ask me what I did with my life","And my love is your love"
"touch",521,0,"till the world ends","Britney Spears",6,1,"sexual","^touch",2011,1,1,"Get you off with the touch, dancing in the dark","DJ what you what, you waiting for?"
"war",348,1,"my love is your love","Whitney Houston",3,2,"violence","^war$",2001,1,1,"If I wake up in World War 3 (World War 3)","And the chains of Amistad couln't hold us"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood, hey!","'Cause, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"And baby, now we've got bad blood, hey!","So take a look at what you've done"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood","'Cause, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood, hey!","'Cause, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"And baby, now we've got bad blood, hey!","So take a look at what you've done"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood","You know it used to be mad love"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood, hey!","Hey"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"And baby, now we've got bad blood, hey!","And, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"If you love like that, blood runs cold!","'Cause, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood","You know it used to be mad love (mad love)"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood, hey!","Hey"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"And baby, now we've got bad blood, hey!","And, baby, now we got bad blood"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood","(Hey)"
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"’Cause baby, now we've got bad blood, hey!",NA
"blood",42,12,"bad blood","Taylor Swift",1,16,"violence","^blood",2015,1,1,"And baby, now we've got bad blood, hey!",NA
"blow",521,0,"till the world ends","Britney Spears",6,2,"alcohol & drugs","^blow",2011,1,1,"Baby, let me blow your mind tonight","Keep on dancing till the world ends"
"bullet",42,0,"bad blood","Taylor Swift",1,2,"violence","^bullet",2015,1,1,"Band-aids don't fix bullet holes","If you live like that, you live with ghosts (ghosts)"
"cut",42,0,"bad blood","Taylor Swift",1,5,"violence","^cut$",2015,1,1,"You made a really deep cut","And I don't think we can solve them"
"cut",42,0,"bad blood","Taylor Swift",1,5,"violence","^cut$",2015,1,1,"You made a really deep cut","So take a look at what you've done"
"cut",42,0,"bad blood","Taylor Swift",1,5,"violence","^cut$",2015,1,1,"You made a really deep cut","So take a look at what you've done"
"cut",42,0,"bad blood","Taylor Swift",1,5,"violence","^cut$",2015,1,1,"You made a really deep cut",NA
"lord",348,1,"my love is your love","Whitney Houston",3,2,"other","^lord$",2001,1,1,"And I'm homeless on the street (On the street, oh Lord)","It would take an eternity to break us"
"man",401,0,"...ready for it?","Taylor Swift",657,1,"identity","^man$",2018,1,1,"Younger than my exes, but he act like such a man, so","Younger than my exes, but he act like such a fan, so"
"kill",401,0,"...ready for it?","Taylor Swift",657,1,"violence","^kill",2018,1,1,"Knew he was a killer first time that I saw him","Knew he was a dancer first time that I saw him"
"touch",401,0,"...ready for it?","Taylor Swift",657,3,"sexual","^touch",2018,1,1,"Touch me and you'll never be alone","Know me and you'll never be alone"
"gentlemen",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,4,"identity","^gentlemen$",2005,1,1,"Ladies and Gentlemen (Ladies and Gentlemen)",NA
