"kb_idx","og_idx","badword","count"
1,2,"high",1
16,572,"creep",1
24,27,"clothes",1
46,42,"fight",1
70,63,"bleed",1
70,63,"cut",1
74,66,"god",1
79,74,"pray",1
85,585,"spirits",1
87,79,"bullet",1
89,587,"dress",1
89,587,"high",1
89,587,"man",1
96,86,"body",1
111,104,"sanity",1
113,105,"crazy",1
113,105,"sex",1
117,109,"bottle",1
117,109,"dress",1
117,109,"man",1
122,113,"crazy",1
123,592,"man",1
123,592,"touch",1
133,125,"crazy",1
135,595,"body",1
136,128,"smoke",1
144,138,"dope",1
149,143,"skin",1
149,143,"weapon",1
151,145,"club",1
151,145,"kill",1
177,604,"waterbed",1
178,605,"fight",1
182,175,"demon",1
182,175,"pray",1
182,175,"sleep",1
191,608,"god",1
195,187,"fight",1
220,215,"ice",1
222,613,"pill",1
223,217,"high",1
229,223,"fight",1
229,223,"kiss",1
230,615,"sleep",1
233,226,"creep",1
236,249,"fight",1
259,246,"cut",1
265,260,"touch",1
269,264,"crazy",1
280,273,"touch",1
285,277,"kiss",1
289,280,"blow",1
292,282,"dirty",1
306,636,"devil",1
306,636,"lips",1
332,314,"god",1
336,327,"man",1
340,330,"body",1
352,344,"die",1
354,348,"sleep",1
357,644,"high",1
383,651,"hips",1
390,655,"underwear",1
394,382,"sins",1
395,384,"pray",1
455,677,"crazy",1
475,452,"hip",1
493,468,"faith",1
514,488,"cut",1
518,492,"hell",1
523,497,"crazy",1
531,504,"bomb",1
533,505,"dope",1
538,511,"pour",1
566,536,"body",1
587,549,"high",1
600,565,"insane",1
NA,68,"high",1
NA,148,"club",1
NA,148,"cuttin",1
NA,148,"man",1
NA,206,"sleep",1
NA,211,"demon",1
NA,211,"evil",1
NA,211,"pray",1
NA,241,"bleed",1
NA,274,"ball",1
NA,274,"ballin",1
NA,346,"kiss",1
NA,401,"hell",1
NA,421,"pray",1
NA,487,"chest",1
NA,566,"fight",1
NA,566,"high",1
