"song_name","og_artist","badword","kb_idx","numOccurKB","og_idx","numOccurOG","data","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"alive","Krewella","die","14","0","17","1","first","violence","^die$","2003","1","1","I'm making the night mine until the day I die","Sometimes it's best to let go"
"all about that bass","Meghan Trainor","bitch","15","0","18","1","first","profanity","^bitch","2015","1","1","Go ahead and tell them skinny bitches that","Because you know I'm"
"all about that bass","Meghan Trainor","booty","15","0","18","11","first","sexual","^booty","2015","1","1","She says, boys like a little more booty to hold at night","I see the magazine workin' that Photoshop"
"all about that bass","Meghan Trainor","shit","15","0","18","1","first","profanity","^shit","2015","1","1","We know that shit ain't real, come on now, make it stop","But I can shake it, shake it"
"all i have","Jennifer Lopez","creep","16","1","572","2","first","other","^creep","2003","1","1","Especially me, I was creepin' all over town (Creepin')","That's the way you used to giggle right before I put it down"
"all of me","John Legend","curve","17","0","19","3","first","sexual","^curve","2014","1","1","Love your curves and all your edges","Your my end and my begining"
"all the right moves","OneRepublic","dead","19","0","21","1","first","violence","^dead$","2010","1","1","Over the world that's dead","They say everybody knows, everybody knows"
"all time low","Jon Bellion","shit","21","0","23","6","first","profanity","^shit","2017","1","1","But that shit's broken, that shit's broken","But that thing is broken, that thing is broken"
"all time low","Jon Bellion","lips","21","0","23","1","first","sexual","^lips$","2017","1","1","Would put your lips on mine and love the aftertaste","We put your hand in mine and love the afterthought now"
"already gone","Kelly Clarkson","kiss","23","0","25","1","first","sexual","^kiss","2010","1","1","It started with a perfect kiss then","We could feel the power set in"
"already gone","Kelly Clarkson","poison","23","0","25","1","first","violence","^poison","2010","1","1","We could feel the poison set in","Perfect couldn't keep this love alive"
"american boy","Estelle","crazy","24","0","27","1","first","other","^crazy$","2009","1","1",NA,NA
"american boy","Estelle","clothes","24","1","27","2","first","sexual","^clothes$","2009","1","1","Dressed in all your fancy clothes","Take me to New York, I'd love to see L.A"
"american boy","Estelle","drink","24","0","27","1","first","alcohol & drugs","^drink","2009","1","1","Ribena, I know what you're drinking",NA
"american boy","Estelle","hell","24","0","27","1","first","profanity","^hell$","2009","1","1","So to hell with all that rubbish",NA
"american boy","Estelle","kill","24","0","27","1","first","violence","^kill","2009","1","1","Who killing them in the UK?","I really want to come kick it with you"
"american boy","Estelle","fuck","24","0","27","1","first","profanity","fuck","2009","1","1","Reluctantly, because most of this press don't fuck with me","American boy, American boy, American"
"animal","Neon Trees","kill","30","0","30","1","first","violence","^kill","2011","1","1","You're killin' me now","Why can't you understand?"
"are you gonna be my girl","Jet (band)","man","34","0","33","3","first","identity","^man$","2004","1","1",NA,NA
"attention","Charlie Puth","dress","38","3","35","4","first","sexual","^dress$","2017","1","1","I know that dress is karma, perfume regret","I know that dress is karma, filled with regret"
"axel f","Crazy Frog","crazy","NA","0","36","6","first","other","^crazy$","2014","1","1","This is the Crazy Frog",NA
"back to you","Selena Gomez","fight","40","0","575","1","first","violence","^fight","2018","1","1","And I could fight, but what's the use?","I'd go back to you"
"bad at love","Halsey","bitch","41","0","576","1","first","profanity","^bitch","2018","1","1","Now he's gone and he's calling me a bitch again","Now he's gone and he's calling me to talk again"
"bad at love","Halsey","jack","41","0","576","1","first","alcohol & drugs","^jack$","2018","1","1","And he tastes like Jack when I'm kissing him","And it takes me back when I think of him"
"bad at love","Halsey","kiss","41","0","576","1","first","sexual","^kiss","2018","1","1","And he tastes like Jack when I'm kissing him","And it takes me back when I think of him"
"bad blood","Taylor Swift","bullet","42","0","38","2","first","violence","^bullet","2015","1","1","Band-Aids don't fix bullet holes","And I don't think we can solve them"
"bad blood","Taylor Swift","amnesia","42","0","38","1","first","other","^amnesia","2015","1","1","Follow procedure, remember? Oh, wait, you got amnesia","And, baby, now we got bad blood"
"bad blood","Taylor Swift","blood","42","12","38","16","first","violence","^blood","2015","1","1","‘Cause, baby, now we've got bad blood","'Cause, baby, now we got bad blood"
"bad blood","Taylor Swift","body","42","0","38","1","first","sexual","^body$","2015","1","1","Battle scars, body bumped, bruised","Did you think we'd be fine?"
"bad blood","Taylor Swift","cut","42","0","38","4","first","violence","^cut$","2015","1","1","You made a really deep cut","'Cause, baby, now we got bad blood"
"bad blood","Taylor Swift","stabbed","42","0","38","1","first","violence","^stabbed$","2015","1","1","Stabbed in the back; brimstone, fire jumping through","I don't think I want you back in my life"
"bad liar","Selena Gomez","amen","44","0","40","1","first","other","^amen","2019","1","1","Call me an amenity","But I'm a bad liar, bad liar"
"bad liar","Selena Gomez","chest","44","0","40","1","first","sexual","^chest","2019","1","1","Paint my kiss across your chest",NA
"bad liar","Selena Gomez","kiss","44","0","40","1","first","sexual","^kiss","2019","1","1","Paint my kiss across your chest",NA
"bad liar","Selena Gomez","pill","44","0","40","1","first","alcohol & drugs","^pill$","2019","1","1","Your touch like a happy pill",NA
"bad liar","Selena Gomez","touch","44","0","40","1","first","sexual","^touch","2019","1","1","Your touch like a happy pill",NA
"battlefield","Jordin Sparks","fight","46","4","42","7","first","violence","^fight","2010","1","1","Don't even know what we're fighting for","You know I never wanna hurt you"
"battlefield","Jordin Sparks","war","46","3","42","7","first","violence","^war$","2010","1","1","One word turns into war","One minute it's love and suddenly"
"be alright","Dean Lewis","cigarette","NA","0","43","1","first","alcohol & drugs","^cigarette","2019","1","1","You say the cigarettes on the counter weren't your friend's",NA
"be alright","Dean Lewis","kiss","NA","0","43","1","first","sexual","^kiss","2019","1","1","But it's not the fact that you kissed him yesterday",NA
"be alright","Dean Lewis","fuck","NA","0","43","1","first","profanity","fuck","2019","1","1","And I know it wasn't right, but it was fucking with my head",NA
"be alright","Dean Lewis","touch","NA","0","43","1","first","sexual","^touch","2019","1","1","And when I touched your face, I could tell you're moving on",NA
"be without you","Mary J. Blige","shit","64","0","44","1","first","profanity","^shit","2006","1","1","(Yes) We got real shit","Call the radio if you just can't be without your baby"
"beautiful","Bazzi","henny","47","0","45","1","first","alcohol & drugs","^henny$","2003","1","1","Now a Backwood and some Henny got you faded","I am beautiful in every single way"
"beautiful","Bazzi","dress","47","0","45","1","first","sexual","^dress$","2003","1","1","The way that dress fall off you is amazing","No matter what we say"
"beautiful","Bazzi","god","47","0","45","2","first","other","^god","2003","1","1","Swear to God that I loved her","To all your friends you're delirious"
"beautiful","Bazzi","naked","47","0","45","3","first","sexual","^naked","2003","1","1","But nothing can compare to when you're naked","Words can't bring me down"
"beautiful (bazzi)","Bazzi","god","48","1","577","2","first","other","^god","2019","1","1","Swear to God that I loved her","Yeah, you know that I loved her"
"beautiful (bazzi)","Bazzi","dress","48","0","577","1","first","sexual","^dress$","2019","1","1","The way that dress fall off you is amazing","Oh my gosh, where did the time go?"
"beautiful (bazzi)","Bazzi","henny","48","0","577","1","first","alcohol & drugs","^henny$","2019","1","1","Now a Backwood and some Henny got you faded","This is all I need to hear to know we made it"
"beautiful (bazzi)","Bazzi","naked","48","0","577","3","first","sexual","^naked","2019","1","1","But nothing can compare to when you're naked","But nothing can compare to when you're singing"
"beautiful girls","Sean Kingston","crime","49","0","46","1","first","violence","^crime","2008","1","1","Oh, when I went away for doin' my first crime","It was back in '99"
"beautiful girls","Sean Kingston","damn","49","0","46","4","first","profanity","^damn","2008","1","1","Damn, all these beautiful girls","They only wanna do your dirt"
"beautiful girls","Sean Kingston","suicidal","49","0","46","18","first","other","^suicidal$","2008","1","1","You'll have me suicidal, suicidal","When you say it's over"
"beautiful people","Ed Sheeran","champagne","51","0","48","2","first","alcohol & drugs","^champagne$","2019","1","1","Champagne and rolled-up notes","In pain and no one knows"
"beauty and a beat","Justin Bieber","bitch","53","0","50","1","first","profanity","^bitch","2013","1","1","Bitches couldn't get on my incline","Baby, do it like you do"
"beauty and a beat","Justin Bieber","body","53","2","50","4","first","sexual","^body$","2013","1","1","Body rock","When the music makes you move"
"beauty and a beat","Justin Bieber","buns","53","0","50","1","first","sexual","^buns$","2013","1","1","Buns out, weiner, but I gotta keep an eye out for Selener","It's all about you"
"beauty and a beat","Justin Bieber","ink","53","0","50","1","first","other","^ink$","2013","1","1","In time, ink lines","When the music makes you move"
"beauty and a beat","Justin Bieber","priest","53","0","50","1","first","other","^priest","2013","1","1","Beautiful confessions of the priest","(Yeah, yeah, yeah, yeah, let's go, let's go)"
"because of you","Kelly Clarkson","damn","54","0","578","1","first","profanity","^damn","2006","1","1","For the same damn thing","I learned to stay on the safe side, so I don't get hurt"
"because of you","Kelly Clarkson","die","54","0","578","1","first","violence","^die$","2006","1","1",NA,NA
"believer","Imagine Dragons","bullet","57","0","53","3","first","violence","^bullet","2017","1","1","Pain! Oh, let the bullets fly, oh, let them rain","Pain!"
"best song ever","One Direction","dirty","59","0","55","1","first","sexual","^dirty$","2014","1","1","Said I had a dirty mouth","Said I had a crooked smile (I got a crooked smile)"
"best song ever","One Direction","kiss","59","0","55","1","first","sexual","^kiss","2014","1","1","But she kissed me like she meant it","But she said it like she meant it"
"better now","Post Malone","henny","62","0","57","1","first","alcohol & drugs","^henny$","2018","1","1","Drinkin' Henny and I'm tryna forget","Thinkin' heavy and I'm tryna forget (Whoa)"
"better now","Post Malone","drink","62","0","57","1","first","alcohol & drugs","^drink","2018","1","1","Drinkin' Henny and I'm tryna forget","Thinkin' heavy and I'm tryna forget (Whoa)"
"better now","Post Malone","shit","62","0","57","1","first","profanity","^shit","2018","1","1","But I can't get this shit outta my head","But I can't get this stuff outta my head"
"beverly hills","Weezer","crap","63","0","58","1","first","profanity","^crap$","2006","1","1","My automobile is a piece of crap","My automobile isn't all that great"
"big girls don't cry","Fergie","skin","65","0","59","1","first","sexual","^skin$","2008","1","1","The smell of your skin lingers on me now","You're probably on your flight back to your hometown"
"billionaire","Travie McCoy","damn","66","0","60","1","first","profanity","^damn","2010","1","1","And damn sure do a lot more than FEMA did","And not a single tummy around me would know what hungry was"
"billionaire","Travie McCoy","fuck","66","0","60","3","first","profanity","fuck","2010","1","1","I wanna be a billionaire so fucking bad","I wanna be a billionaire so very bad"
"billionaire","Travie McCoy","shit","66","0","60","1","first","profanity","^shit","2010","1","1","And adopt a bunch of babies that ain't never had shit","Then I'll compliment him on his political etiquette"
"blank space","Taylor Swift","drunk","69","0","580","1","first","alcohol & drugs","^drunk","2015","1","1","I get drunk on jealousy","'Cause, darling, It's a nightmare dressed like a daydream"
"blank space","Taylor Swift","god","69","0","580","2","first","other","^god","2015","1","1","""Oh my God, look at that face","Oh my Gosh, look at that face"
"blank space","Taylor Swift","insane","69","0","580","6","first","other","^insane","2015","1","1","They'll tell you I'm insane","'Cause you know I love the haters"
"blank space","Taylor Swift","high","69","0","580","3","first","alcohol & drugs","^high$","2015","1","1","If the high was worth the pain","Got a long list of some others"
"bleeding love","Leona Lewis","bleed","70","20","63","26","first","violence","^bleed","2008","1","1","Keep bleeding","Keep bleeding, keep, keep bleeding love"
"bleeding love","Leona Lewis","cut","70","6","63","7","first","violence","^cut$","2008","1","1","You cut me open and I","Keep bleeding, keep, keep bleeding love"
"boom boom pow","The Black Eyed Peas","apeshit","72","0","64","1","first","profanity","^apeshit","2009","1","1","When I step inside the room, them girls go apeshit, mmm","Y'all gettin' hit with boom, boom"
"boom boom pow","The Black Eyed Peas","dies","72","0","64","1","first","violence","^dies$","2009","1","1","The Energy Never Dies","Boom, boom, boom, gotta get, get"
"boom boom pow","The Black Eyed Peas","sex","72","0","64","1","first","sexual","^sex","2009","1","1","Sexy ladies, extra longer","This beat go boom, boom"
"boom boom pow","The Black Eyed Peas","shit","72","0","64","7","first","profanity","^shit","2009","1","1","That digital spit, next level visual shit","Boom, boom, boom, gotta get, get"
"boom clap","Charli XCX","drug","73","0","65","1","first","alcohol & drugs","^drug","2015","1","1","First kiss just like a drug","The beat goes"
"boom clap","Charli XCX","dress","73","0","65","1","first","sexual","^dress$","2015","1","1","Could dress me up so good",NA
"boom clap","Charli XCX","kiss","73","0","65","1","first","sexual","^kiss","2015","1","1","First kiss just like a drug","The beat goes"
"born this way","Lady Gaga","gay","74","0","66","1","first","identity","^gay$","2011","1","1",NA,NA
"born this way","Lady Gaga","lesbian","74","0","66","1","first","identity","^lesbian","2011","1","1","Lesbian, transgender life",NA
"born this way","Lady Gaga","god","74","1","66","3","first","other","^god","2011","1","1","'Cause God makes no mistakes","I WAS BORN THIS WAY"
"born this way","Lady Gaga","transgender","74","0","66","1","first","identity","^transgender","2011","1","1","Lesbian, transgender life",NA
"boulevard of broken dreams","Green Day","fuck","76","0","582","1","first","profanity","fuck","2005","1","1","What's fucked up, and everything's all right","That divides me somewhere in my mind"
"brave","Sara Bareilles","drug","78","0","583","1","first","alcohol & drugs","^drug","2014","1","1","You can turn a phrase into a weapon or a drug","You can turn a phrase into a put-down or a hug"
"brave","Sara Bareilles","weapon","78","0","583","1","first","violence","^weapon","2014","1","1","You can turn a phrase into a weapon or a drug","You can turn a phrase into a put-down or a hug"
"​break up with your girlfriend, i'm bored","Ariana Grande","fuck","NA","0","72","2","first","profanity","fuck","2019","1","1","Took one fuckin' look at your face (Hmm)",NA
"​break up with your girlfriend, i'm bored","Ariana Grande","shit","NA","0","72","1","first","profanity","^shit","2019","1","1","This shit always happen to me (Yeah)",NA
"​break up with your girlfriend, i'm bored","Ariana Grande","crazy","NA","0","72","1","first","other","^crazy$","2019","1","1","You could call me crazy 'cause I want you",NA
"breakaway","Kelly Clarkson","pray","79","2","74","4","first","other","^pray","2005","1","1","I would pray (I would pray)","I would pray"
"breakeven","The Script","god","80","0","75","2","first","other","^god","2010","1","1","Just praying to a God that I don't believe in","Just praying to a thing that i don't believe in"
"breakeven","The Script","man","80","0","75","1","first","identity","^man$","2010","1","1","She finally met a man that's gonna put her first","She finally met a boy that's gonna put her first"
"breathin","Ariana Grande","shit","83","0","76","2","first","profanity","^shit","2018","1","1","I know that all this shit's fabricated","Don't know what else to try, but you tell me every time"
"breathin","Ariana Grande","medicate","83","0","76","1","first","other","^medicate","2018","1","1","I can so over-complicate, people tell me to medicate","How did I know this is fabricated? Oh"
"bring me to life","Evanescence","spirits","85","0","585","1","first","alcohol & drugs","^spirits$","2003","1","1",NA,NA
"bts - 작은 것들을 위한 시 (boy with luv) ft. halsey (romanized)","Genius Romanizations","high","NA","0","68","1","first","alcohol & drugs","^high$","2019","1","1","You got me high so fast",NA
"bulletproof","La Roux","bullet","87","10","79","12","first","violence","^bullet","2011","1","1","This time, baby, I’ll be bulletproof","Been there"
"burn","Ellie Goulding","hell","88","0","586","1","first","profanity","^hell$","2004","1","1","And we're burning one hell of a something","Kidz Bop, let's go, hey, hey, hey"
"burn","Ellie Goulding","sleep","88","0","586","3","first","sexual","^sleep","2004","1","1","There's no sleeping now, no sleeping now, no sleeping","Fire burning, fire burning"
"burnin' up","Jonas Brothers","high","89","1","587","2","first","alcohol & drugs","^high$","2009","1","1","High heels (High heels), red dress (Red dress)","All by yourself, gotta catch my breath"
"burnin' up","Jonas Brothers","dress","89","1","587","2","first","sexual","^dress$","2009","1","1","High heels (High heels), red dress (Red dress)","All by yourself, gotta catch my breath"
"burnin' up","Jonas Brothers","man","89","0","587","1","first","identity","^man$","2009","1","1",NA,NA
"cake by the ocean","DNCE","fuck","91","0","81","7","first","profanity","fuck","2016","1","1","Let's lose our minds and go fucking crazy","Walk with me, baby"
"cake by the ocean","DNCE","damn","91","0","81","1","first","profanity","^damn","2016","1","1","Ah, ya, ya, ya, ya I keep on hopin' we'll eat cake by the ocean (I keep on hopin', hot damn)",NA
"cake by the ocean","DNCE","god","91","0","81","1","first","other","^god","2016","1","1","Goddamn","Want another taste, I'm saying, ""Oh yeah"""
"california gurls","Katy Perry","ass","92","0","82","1","first","profanity","^ass$","2010","1","1","All that ass hanging out","California"
"california gurls","Katy Perry","bikini","92","0","82","4","first","sexual","^bikini","2010","1","1","Daisy Dukes, bikinis on top","California gurls, we're unforgettable"
"california gurls","Katy Perry","buns","92","0","82","1","first","sexual","^buns$","2010","1","1","Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"california gurls","Katy Perry","creep","92","0","82","1","first","other","^creep","2010","1","1","Trying to creep a little sneak peek (At us)","Tryna act a little crazy"
"california gurls","Katy Perry","freak","92","0","82","2","first","sexual","^freak","2010","1","1","We freak in my Jeep ​*horn honks*​","(Oh, oh-oh, oh-oh, oh-oh)"
"california gurls","Katy Perry","gin","92","0","82","1","first","alcohol & drugs","^gin$","2010","1","1","Sipping gin and juice","Laying underneath the palm trees"
"california gurls","Katy Perry","kiss","92","0","82","1","first","sexual","^kiss","2010","1","1","Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"california gurls","Katy Perry","touch","92","0","82","1","first","sexual","^touch","2010","1","1","Kiss her, touch her, squeeze her buns (Uh!)","Sun-kissed beach, so hot, will melt your Popsicle"
"california gurls","Katy Perry","man","92","0","82","1","first","identity","^man$","2010","1","1","California gurls, man",NA
"california gurls","Katy Perry","martini","92","0","82","1","first","alcohol & drugs","^martini","2010","1","1","Bikinis, zucchinis, martinis, no weenies","California gurls"
"california gurls","Katy Perry","skin","92","0","82","3","first","sexual","^skin$","2010","1","1","Sun-kissed skin so hot, we'll melt your popsicle","Fine, fresh, fierce, we got it on lock"
"california gurls","Katy Perry","sex","92","0","82","2","first","sexual","^sex","2010","1","1","Sex (Sex) on the beach","West Coast represent, now put your hands up"
"call me maybe","Carly Rae Jepsen","skin","93","0","83","2","first","sexual","^skin$","2012","1","1","Ripped jeans, skin was showin'","Ripped jeans, smile was showin'"
"can't hold us","Macklemore & Ryan Lewis","shit","95","0","85","1","first","profanity","^shit","2013","1","1","Trust me on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin'","We give that to the people"
"can't stop the feeling!","Justin Timberlake","body","96","6","86","8","first","sexual","^body$","2016","1","1","I feel that hot blood in my body when it drops (ooh)","I feel that hot blood in my body when it drops, ooh"
"can't stop the feeling!","Justin Timberlake","creep","96","0","86","3","first","other","^creep","2016","1","1","A feeling good, good, creeping up on you","A feeling good, good, dancing here with you"
"castle on the hill","Ed Sheeran","cigarette","97","0","588","1","first","alcohol & drugs","^cigarette","2017","1","1","Fifteen years old and smoking hand-rolled cigarettes","Once we got older, hoping the fun never ends"
"castle on the hill","Ed Sheeran","clothes","97","0","588","1","first","sexual","^clothes$","2017","1","1","One friend left to sell clothes","And I'm on my way, I still remember"
"castle on the hill","Ed Sheeran","drink","97","0","588","1","first","alcohol & drugs","^drink","2017","1","1","We'd buy cheap spirits and drink them straight","We'd buy cheap toys and then they'd break"
"castle on the hill","Ed Sheeran","drunk","97","0","588","1","first","alcohol & drugs","^drunk","2017","1","1","Running from the law through the backfields and getting drunk with my friends","Running down the road through the back fields and hanging out with my friends"
"castle on the hill","Ed Sheeran","kiss","97","0","588","1","first","sexual","^kiss","2017","1","1","Had my first kiss on a Friday night, I don't reckon that I did it right","Had my first job on a Friday night, I don't reckon I did it right"
"castle on the hill","Ed Sheeran","overdose","97","0","588","1","first","alcohol & drugs","^overdose","2017","1","1","One's brother overdosed","And I miss the way you make me feel, it's real"
"castle on the hill","Ed Sheeran","spirits","97","0","588","1","first","alcohol & drugs","^spirits$","2017","1","1","We'd buy cheap spirits and drink them straight","We'd buy cheap toys and then they'd break"
"castle on the hill","Ed Sheeran","smoking","97","0","588","1","first","alcohol & drugs","^smoking","2017","1","1","Fifteen years old and smoking hand-rolled cigarettes","Once we got older, hoping the fun never ends"
"caught up","Majid Jordan","blow","98","0","87","1","first","alcohol & drugs","^blow","2005","1","1","Blowing O's underneath the moonlight","Caught up"
"caught up","Majid Jordan","bodies","98","0","87","1","first","sexual","^bodies$","2005","1","1","Bodies hangin' from the chandelier, yeah, yeah","Got me feelin it"
"caught up","Majid Jordan","club","98","0","87","1","first","other","^club$","2005","1","1","But I can't go to the club 'cause it's too industry, yeah, yeah","Got a hold"
"caught up","Majid Jordan","drink","98","0","87","1","first","alcohol & drugs","^drink","2005","1","1","How many drinks can I pour in a night?","And I think I like it baby"
"caught up","Majid Jordan","faith","98","0","87","1","first","other","^faith$","2005","1","1","I'm tryna keep faith","I never thought I'd be the one breaking down"
"caught up","Majid Jordan","fuck","98","0","87","1","first","profanity","fuck","2005","1","1","Fuck up a bag, make the money disappear, yeah","I'm so"
"caught up","Majid Jordan","man","98","0","87","1","first","identity","^man$","2005","1","1","Tryna stay real not fake, man","I can't figure it out why I'm so"
"caught up","Majid Jordan","hell","98","0","87","1","first","profanity","^hell$","2005","1","1","Been a hell of a year, yeah, yeah","But it seems she got me twisted"
"caught up","Majid Jordan","pour","98","0","87","1","first","alcohol & drugs","^pour","2005","1","1","How many drinks can I pour in a night?","And I think I like it baby"
"caught up","Majid Jordan","touch","98","0","87","1","first","sexual","^touch","2005","1","1","Callin' you up just so I can touch base","I dont know what it is"
"caught up","Majid Jordan","smoke","98","0","87","2","first","alcohol & drugs","^smoke","2005","1","1","How many blunts can I smoke in a night (In a night, no)","This girl was mean she really turned me out"
