"song_name","og_artist","badword","kb_idx","numOccurKB","og_idx","numOccurOG","data","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"...ready for it?","Taylor Swift","kill","401","0","657","1","first","violence","^kill","2018","1","1","Knew he was a killer first time that I saw him","Knew he was a dancer first time that I saw him"
"...ready for it?","Taylor Swift","man","401","0","657","1","first","identity","^man$","2018","1","1",NA,NA
"...ready for it?","Taylor Swift","touch","401","0","657","3","first","sexual","^touch","2018","1","1","Touch me and you'll never be alone","Know me and you'll never be alone"
"1, 2 step (ft. missy elliott)","Ciara","retard","NA","0","4","1","first","profanity","^retard","2005","1","1","So retarded, top charted, ever since the day I started",NA
"1, 2 step (ft. missy elliott)","Ciara","bodies","NA","0","4","2","first","sexual","^bodies$","2005","1","1","Whichever way the beat drops, our bodies will flow (I like this)",NA
"1, 2 step (ft. missy elliott)","Ciara","chest","NA","0","4","1","first","sexual","^chest","2005","1","1","Work my body, so melodic, this beat rolls right through my chest (Yup)",NA
"1, 2 step (ft. missy elliott)","Ciara","gentlemen","NA","0","4","4","first","identity","^gentlemen$","2005","1","1","Ladies and Gentlemen (Ladies and Gentlemen)",NA
"1, 2 step (ft. missy elliott)","Ciara","body","NA","0","4","3","first","sexual","^body$","2005","1","1","Work ya body, work ya body",NA
"1985","Bowling for Soup","ass","1","0","2","1","first","profanity","^ass$","2005","1","1","She was gonna shake her ass on the hood of Whitesnake’s car","When she turned 24"
"1985","Bowling for Soup","high","1","3","2","4","first","alcohol & drugs","^high$","2005","1","1","Her two kids in high school","Her yellow SUV"
"24k magic","Bruno Mars","ass","4","0","5","1","first","profanity","^ass$","2016","1","1","Bad bitches and ya ugly ass friends (Haha)","Ain't my fault y'all be jocking"
"24k magic","Bruno Mars","bitch","4","0","5","1","first","profanity","^bitch","2016","1","1","Bad bitches and ya ugly ass friends (Haha)","Ain't my fault y'all be jocking"
"24k magic","Bruno Mars","bless","4","0","5","1","first","other","^bless","2016","1","1","Hashtag blessed","Head to toe soul player"
"24k magic","Bruno Mars","man","4","0","5","2","first","identity","^man$","2016","1","1","Ooh shit, I'm a dangerous man with some money in my pocket","Why you mad? Fix ya face"
"24k magic","Bruno Mars","jesus","4","0","5","1","first","other","^jesus","2016","1","1","Got to blame it on Jesus","24 karat magic in the air"
"24k magic","Bruno Mars","gang","4","0","5","2","first","violence","^gang","2016","1","1","Gangstas (gangstas)","Why you mad? Fix ya face"
"24k magic","Bruno Mars","shit","4","0","5","2","first","profanity","^shit","2016","1","1","Ooh shit, I'm a dangerous man with some money in my pocket","Why you mad? Fix ya face"
"24k magic","Bruno Mars","pimp","4","0","5","1","first","sexual","^pimp","2016","1","1","I gotta show 'em how a pimp get it in","Hey kids, come on"
"24k magic","Bruno Mars","sip","4","0","5","2","first","alcohol & drugs","^sip$","2016","1","1","First, take your sip (sip), do your dip (dip)","Put your pinky rings up to the moon"
"2u (ft. justin bieber)","David Guetta","crime","NA","0","6","3","first","violence","^crime","2017","1","1","When it comes to you, there's no crime",NA
"2u (ft. justin bieber)","David Guetta","bed","NA","0","6","1","first","sexual","^bed$","2017","1","1","Ain't gotta wake up to an empty bed",NA
"4 minutes","Madonna","hell","5","0","7","1","first","profanity","^hell$","2008","1","1","The road to hell is paved with good intentions, yeah",NA
"7 rings","Ariana Grande","addict","6","0","8","1","first","alcohol & drugs","^addict","2019","1","1","Think retail therapy my new addiction","Think retail therapy my new addition"
"7 rings","Ariana Grande","ass","6","0","8","1","first","profanity","^ass$","2019","1","1",NA,NA
"7 rings","Ariana Grande","bitch","6","0","8","2","first","profanity","^bitch","2019","1","1","Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
"7 rings","Ariana Grande","bottle","6","0","8","1","first","alcohol & drugs","^bottle","2019","1","1","Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
"7 rings","Ariana Grande","bubbles","6","0","8","1","first","alcohol & drugs","^bubbles$","2019","1","1","Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
"7 rings","Ariana Grande","juice","6","0","8","1","first","alcohol & drugs","^juice$","2019","1","1","Never mind, I got the juice","Never mind, what is the use?"
"7 rings","Ariana Grande","shit","6","0","8","1","first","profanity","^shit","2019","1","1","Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
"7 rings","Ariana Grande","tattoo","6","0","8","1","first","other","^tattoo","2019","1","1","Girls with tattoos who like getting in trouble","Girls with a dream who like getting in trouble"
"7 years","Lukas Graham","drink","8","0","10","1","first","alcohol & drugs","^drink","2016","1","1","By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"7 years","Lukas Graham","smoking","8","0","10","1","first","alcohol & drugs","^smoking","2016","1","1","By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"7 years","Lukas Graham","liquor","8","0","10","1","first","alcohol & drugs","^liquor","2016","1","1","By eleven smoking herb and drinking burning liquor","By eleven hanging out and thinking we were slicker"
"7 years","Lukas Graham","woman","8","0","10","1","first","identity","^woman$","2016","1","1","My woman brought children for me","So I can sing them all my songs and I can tell them stories"
"a nightmare on my street","DJ Jazzy Jeff & The Fresh Prince","coke","29","0","573","1","first","alcohol & drugs","^coke$","2004","1","1","I went downstairs to grab some juice or a Coke","But when I got home and laid down to sleep"
"a nightmare on my street","DJ Jazzy Jeff & The Fresh Prince","juice","29","0","573","1","first","alcohol & drugs","^juice$","2004","1","1","I went downstairs to grab some juice or a Coke","But when I got home and laid down to sleep"
"a nightmare on my street","DJ Jazzy Jeff & The Fresh Prince","man","29","9","573","10","first","identity","^man$","2004","1","1","We saw Elm Street and man it was def","Buggin' , cold havin' a ball"
"airplanes","B.o.B","hell","12","0","14","1","first","profanity","^hell$","2011","1","1","And back when I was rappin' for the hell of it","And back when I was rappin' for the thrill of it"
"airplanes","B.o.B","shit","12","0","14","1","first","profanity","^shit","2011","1","1","And get back to the music that started this shit?","And get back to the music that started this hit"
"alejandro","Lady Gaga","cigarette","13","0","15","4","first","alcohol & drugs","^cigarette","2010","1","1","Just smoke my cigarette and hush","Alejandro"
"alejandro","Lady Gaga","kiss","13","0","15","5","first","sexual","^kiss","2010","1","1","Don't wanna kiss, don't wanna touch","Don't call my name"
"alejandro","Lady Gaga","touch","13","0","15","5","first","sexual","^touch","2010","1","1","Don't wanna kiss, don't wanna touch","Don't call my name"
"alejandro","Lady Gaga","smoke","13","0","15","4","first","alcohol & drugs","^smoke","2010","1","1","Just smoke my cigarette and hush","Alejandro"
"alive","Krewella","crazy","14","0","17","1","first","other","^crazy$","2003","1","1","And I just wanna sink into your crazy laughter","Tell the world how I feel inside"
