"year","alcohol & drugs","gender & sexuality","mental health","other","profanity","religious","sexual","slur","violence"
2001,0,0.0172413793103448,0,0,0.0172413793103448,0.0517241379310345,0.103448275862069,0,0.0689655172413793
2002,0.0821917808219178,0.0684931506849315,0.0273972602739726,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.178082191780822,0.0136986301369863,0.0547945205479452
2003,0.0705882352941176,0.0588235294117647,0.0352941176470588,0.0235294117647059,0.0235294117647059,0.0470588235294118,0.0941176470588235,0,0.0235294117647059
2004,0.12779552715655,0.0511182108626198,0.0191693290734824,0.00958466453674121,0.0543130990415335,0.0415335463258786,0.124600638977636,0.00638977635782748,0.0575079872204473
2005,0.0821917808219178,0.0547945205479452,0.0136986301369863,0.0410958904109589,0.10958904109589,0.0821917808219178,0.150684931506849,0.0136986301369863,0.0547945205479452
2006,0.0476190476190476,0.0317460317460317,0.0158730158730159,0.0158730158730159,0.222222222222222,0,0.174603174603175,0.0158730158730159,0.0952380952380952
2007,0.0816326530612245,0.122448979591837,0,0.0102040816326531,0.13265306122449,0.0306122448979592,0.0816326530612245,0.0102040816326531,0.0816326530612245
2008,0.0506329113924051,0.0126582278481013,0.0253164556962025,0.0126582278481013,0.126582278481013,0.0506329113924051,0.0886075949367089,0.0253164556962025,0.151898734177215
2009,0.0833333333333333,0.03125,0.0416666666666667,0.0104166666666667,0.114583333333333,0.0416666666666667,0.177083333333333,0.0104166666666667,0.0729166666666667
2010,0.141414141414141,0.0303030303030303,0,0.0404040404040404,0.101010101010101,0.0303030303030303,0.171717171717172,0,0.101010101010101
2011,0.0490196078431373,0.0686274509803922,0.0196078431372549,0.0294117647058823,0.117647058823529,0.0392156862745098,0.107843137254902,0,0.0588235294117647
2012,0.0840336134453781,0.0336134453781513,0.0168067226890756,0.0252100840336134,0.0840336134453781,0.0252100840336134,0.210084033613445,0,0.0840336134453781
2013,0.123893805309734,0.0176991150442478,0,0.0265486725663717,0.15929203539823,0.0442477876106195,0.0884955752212389,0,0.0884955752212389
2014,0.204545454545455,0.0227272727272727,0.0227272727272727,0.0113636363636364,0.0681818181818182,0.0681818181818182,0.181818181818182,0,0.0909090909090909
2015,0.117647058823529,0.0294117647058824,0.0343137254901961,0.0294117647058824,0.0882352941176471,0.0343137254901961,0.205882352941176,0.00490196078431373,0.122549019607843
2016,0.161764705882353,0.0661764705882353,0.00735294117647059,0.0220588235294118,0.154411764705882,0.0588235294117647,0.154411764705882,0.00735294117647059,0.0882352941176471
2017,0.274647887323944,0.0140845070422535,0.00704225352112676,0.028169014084507,0.112676056338028,0.0492957746478873,0.204225352112676,0.0140845070422535,0.0704225352112676
2018,0.201438848920863,0.0359712230215827,0.00719424460431655,0.0143884892086331,0.143884892086331,0.0647482014388489,0.122302158273381,0.0143884892086331,0.122302158273381
2019,0.203703703703704,0.0493827160493827,0.0246913580246914,0.037037037037037,0.148148148148148,0.0740740740740741,0.203703703703704,0,0.0802469135802469
