bad_word,category,regexp,
shit,profanity,^shit,
ass,profanity,^ass$,
fuck,profanity,fuck,
damn,profanity,^damn,
bitch,profanity,^bitch,
god,religious,^god,
hell,profanity,^hell$,
kiss,sexual,^kiss,
touch,sexual,^touch,
drink,alcohol & drugs,^drink,
drink,alcohol & drugs,^drink,
kill,violence,^kill,
blow,alcohol & drugs,^blow,
crazy,mental health,^crazy$,
sex,sexual,^sex,
drunk,alcohol & drugs,^drunk,
nigga,slur,^nigga,
skin,sexual,^skin$,
champagne,alcohol & drugs,^champagne$,
gun,violence,^gun$,
pill,alcohol & drugs,^pill$,
tit,sexual,^tit$,
bang,sexual,^bang$,
overdose,alcohol & drugs,^overdose,
booty,sexual,^booty,
bottle,alcohol & drugs,^bottle,
bullet,violence,^bullet,
chest,sexual,^chest,
gang,violence,^gang,
liquor,alcohol & drugs,^liquor,
dope,alcohol & drugs,^dope,
drug,alcohol & drugs,^drug,
pimp,sexual,^pimp,
butt,sexual,^butt$,
devil,religious,^devil,
wine,alcohol & drugs,^wine$,
christ,religious,^christ$,
dammit,profanity,^dammit$,
intoxicate,alcohol & drugs,^intoxicate,
murder,violence,^murder,
beer,alcohol & drugs,^beer,
cock,sexual,^cock,
grind,sexual,^grind,
jesus,religious,^jesus,
pussy,sexual,^pussy,
retard,slur,^retard,
trigger,violence,^trigger,
alcohol,alcohol & drugs,^alcohol,
breast,sexual,^breast,
gay,gender & sexuality,^gay$,
lesbian,gender & sexuality,^lesbian,
transgender,gender & sexuality,^transgender,
molly,alcohol & drugs,^molly$,
mdma,alcohol & drugs,^mdma^,
coke,alcohol & drugs,^coke$,
cocaine,alcohol & drugs,^cocaine$,
meth,alcohol & drugs,^meth$,
vodka,alcohol & drugs,^vodka,
tequila,alcohol & drugs,^tequila,
heroine,alcohol & drugs,^heroine,
insane,mental health,^insane,
suicide,mental health,^suicide,
knife,violence,^knife,
stab,violence,^stab$,
blood,violence,^blood,
man,gender & sexuality,^man$,
woman,gender & sexuality,^woman$,
men,gender & sexuality,^men$,
women,gender & sexuality,^women$,
high,alcohol & drugs,^high$,
tattoo,other,^tattoo,
smoke,alcohol & drugs,^smoke,
smoking,alcohol & drugs,^smoking,
juice,alcohol & drugs,^juice$,
cigarette,alcohol & drugs,^cigarette,
masturbate,sexual,^mastrubate,
lips,sexual,^lips$,
hellish,profanity,^hellish$,START HERE
crazier,mental health,^crazier$,
craziest,mental health,^craziest$,
guns,violence,^guns$,
pills,alcohol & drugs,^pills$,
tits,sexual,^tits$,
butts,sexual,^butts$,
pussies,sexual,^pussies$,
insanity,mental health,^insanity$,
stabs,violence,^stabs$,
stabbed,violence,^stabbed$,
stabbing,violence,^stabbing$,
gentleman,gender & sexuality,^gentleman$,
gentlemen,gender & sexuality,^gentlemen$,
addict,alcohol & drugs,^addict,
amen,religious,^amen,
amnesia,mental health,^amnesia,
antidepressor,mental health,^antideppressor,
apeshit,profanity,^apeshit,
ball,other,^ball,
bang,other,^bang,
bed,sexual,^bed$,
bikini,sexual,^bikini,
bipolar,mental health,^bipolar,
bleed,violence,^bleed,
bedroom,sexual,^bedroom,
ballin,other,^ballin,
