"category","inSongs","censored","pctCensored"
"alcohol & drugs",301,171,0.568106312292359
"identity",96,45,0.46875
"other",498,171,0.343373493975904
"profanity",198,176,0.888888888888889
"sexual",447,185,0.413870246085011
