"idx","og_song_name"
1,"223's (Ft. YNW Melly)"
2,"1985"
3,"1 Thing i know"
4,"1, 2 Step (Ft. Missy Elliott)"
5,"24K Magic"
6,"2U (Ft. Justin Bieber)"
7,"4 Minutes of Hell Part 2"
8,"7 rings"
9,"7 Things"
10,"7 Years"
11,"A Moment Like This"
12,"A Public Affair"
13,"A Thousand Miles"
14,"Airplanes (Ft. Hayley Williams)"
15,"Toda (Remix)"
16,"Look Alive (Ft. Drake)"
17,"Look Alive (Ft. Drake)"
18,"All About That Bass"
19,"All of Me"
20,"All Star"
21,"All the Right Moves"
22,"All the Small Things"
23,"All Time Low (Ft. Travis Mendes)"
24,"All You Wanted by Michelle Branch"
25,"Already Gone"
26,"Am I Wrong"
27,"American Boy (Ft. Kanye West)"
28,"Angel"
29,"Angel of Mine"
30,"The House of the Rising Sun"
31,"Apologize"
32,"Applause"
33,"Are You Gonna Be My Girl"
34,"As Long As You Love Me (Ft. Big Sean)"
35,"Attention"
36,"Forest Fires"
37,"Love Me (Ft. Drake & Future)"
38,"Bad Blood (Remix) (Ft. Kendrick Lamar)"
39,"Bad Day"
40,"Bad Liar"
41,"Bailamos"
42,"Love is a Battlefield"
43,"Be Alright"
44,"Be Without You"
45,"Young and Beautiful"
46,"Beautiful Girls"
47,"Beautiful Liar (Ft. Shakira)"
48,"Beautiful People (Ft. Khalid)"
49,"Beautiful Soul"
50,"Beauty and a Beat (Ft. Nicki Minaj)"
51,"Behind These Hazel Eyes"
52,"Believer"
53,"Believer"
54,"Best Day of My Life"
55,"Best Song Ever"
56,"Best Time Ever"
57,"Better Now"
58,"Beverly Hills"
59,"Big Girls Don't Cry (Personal)"
60,"Monster (Ft. Bon Iver, JAY-Z, Nicki Minaj & Rick Ross)"
61,"Black Horse & The Cherry Tree"
62,"Blame Game (Ft. John Legend)"
63,"Bleeding Love"
64,"Boom Boom Pow"
65,"Boom Clap"
66,"Born This Way"
67,"More Than A Feeling"
68,"BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized)"
69,"Boyfriend"
70,"Boyfriend"
71,"Break Free (Ft. Zedd)"
72,"​break up with your girlfriend, i'm bored"
73,"Break Your Heart Right Back (Ft. Childish Gambino)"
74,"Breakaway"
75,"Breakeven"
76,"​​breathin"
77,"​the remedy for a broken heart (why am I so in love)"
78,"Bubbly"
79,"FAKE LOVE"
80,"Bye Bye Bye"
81,"Cake By the Ocean"
82,"California Gurls (Ft. Snoop Dogg)"
83,"Call Me Maybe"
84,"Can't Get You Out of My Head"
85,"Can't Hold Us (Ft. Ray Dalton)"
86,"CAN'T STOP THE FEELING!"
87,"Caught Up (Ft. Khalid)"
88,"Centuries"
89,"Chariot of Fire"
90,"Chasing Cars"
91,"Cheap Thrills"
92,"Cheerleader (Felix Jaehn Remix)"
93,"Chicken Noodle Soup (Ft. Becky G)"
94,"Cinderella (Ft. Ty Dolla $ign)"
95,"Paradise Circus (Ft. Hope Sandoval)"
96,"Clarity (Ft. Foxes)"
97,"Close to Me (Ft. Swae Lee)"
98,"Closer (Ft. Halsey)"
99,"Club Can't Handle Me (Ft. David Guetta)"
100,"Clumsy"
101,"Something Just Like This"
102,"Cold Water (Ft. Justin Bieber & MØ)"
103,"Come and See Me (Ft. Drake)"
104,"Come Clean"
105,"Come On Over Baby (All I Want Is You) [Radio Version]"
106,"Complicated"
107,"Confident (Ft. Chance the Rapper)"
108,"Congratulations (Ft. Quavo)"
109,"Gangsta's Paradise (Ft. L.V. (South Central Cartel))"
110,"Cool Kids"
111,"Cooler Than Me (Ft. Big Sean)"
112,"Codeine Crazy"
113,"Crazy for This Girl"
114,"Cruise (Remix) (Ft. Nelly)"
115,"Instant Crush (Ft. Julian Casablancas)"
116,"Cry Me a River"
117,"Crying in the Club"
118,"Cupid's Chokehold / Breakfast in America (Ft. Patrick Stump)"
119,"Cups (Pop Version)"
120,"I Am Damaged (Ft. Barrett Wilbert Weed & Ryan McCartan)"
121,"Dance Again"
122,"Dark Horse (Ft. Juicy J)"
123,"Dear Future Husband"
124,"Diamonds Dancing"
125,"Dilemma (Ft. Kelly Rowland)"
126,"Disturbia"
127,"Do You Remember (Ft. Death Cab for Cutie)"
128,"Layla"
129,"Don't Call Me Up"
130,"Don't Forget About Us"
131,"Don't Let Me Get Me"
132,"Hips Don't Lie (Ft. Wyclef Jean)"
133,"Don't Matter to Me"
