"idx","og_song_name"
1,"22"
2,"1985"
3,"1 thing"
4,"1, 2 step"
5,"24k magic"
6,"2u"
7,"4 minutes"
8,"7 rings"
9,"7 things"
10,"7 years"
11,"a moment like this"
12,"a public affair"
13,"a thousand miles"
14,"airplanes"
15,"alejandro"
16,"alive"
17,"alive"
18,"all about that bass"
19,"all of me"
20,"all star"
21,"all the right moves"
22,"all the small things"
23,"all time low"
24,"all you wanted"
25,"already gone"
26,"am i wrong"
27,"american boy"
28,"angel"
29,"angel of mine"
30,"animal"
31,"apologize"
32,"applause"
33,"are you gonna be my girl"
34,"as long as you love me"
35,"attention"
36,"axel f"
37,"baby"
38,"bad blood"
39,"bad day"
40,"bad liar"
41,"bailamos"
42,"battlefield"
43,"be alright"
44,"be without you"
45,"beautiful"
46,"beautiful girls"
47,"beautiful liar"
48,"beautiful people"
49,"beautiful soul"
50,"beauty and a beat"
51,"behind these hazel eyes"
52,"believe"
53,"believer"
54,"best day of my life"
55,"best song ever"
56,"best time ever"
57,"better now"
58,"beverly hills"
59,"big girls don't cry"
60,"billionaire"
61,"black horse & the cherry tree"
62,"blame"
63,"bleeding love"
64,"boom boom pow"
65,"boom clap"
66,"born this way"
67,"boston"
68,"boy with luv"
69,"boyfriend"
70,"boyfriend"
71,"break free"
72,"break up with your girlfriend, i'm bored"
73,"break your heart"
74,"breakaway"
75,"breakeven"
76,"breathin"
77,"broken"
78,"bubbly"
79,"bulletproof"
80,"bye bye bye"
81,"cake by the ocean"
82,"california gurls"
83,"call me maybe"
84,"can't get you out of my head"
85,"can't hold us"
86,"can't stop the feeling!"
87,"caught up"
88,"centuries"
89,"chariot"
90,"chasing cars"
91,"cheap thrills"
92,"cheerleader"
93,"chicken noodle soup"
94,"cinderella"
95,"circus"
96,"clarity"
97,"close to me"
98,"closer"
99,"club can't handle me"
100,"clumsy"
101,"cold"
102,"cold water"
103,"come & get it"
104,"come clean"
105,"come on over baby"
106,"complicated"
107,"confident"
108,"congratulations"
109,"cool"
110,"cool kids"
111,"cooler than me"
112,"crazy"
113,"crazy for this girl"
114,"cruise"
115,"crush"
116,"cry me a river"
117,"crying in the club"
118,"cupid's chokehold"
119,"cups"
120,"damaged"
121,"dance again"
122,"dark horse"
123,"dear future husband"
124,"diamonds"
125,"dilemma"
126,"disturbia"
127,"do you remember"
128,"domino"
129,"don't call me up"
130,"don't forget about us"
131,"don't let me get me"
132,"don't lie"
133,"don't matter"
134,"don't mind"
135,"don't stop the music"
136,"don't stop the party"
137,"down"
138,"downtown"
139,"drag me down"
140,"drive by"
141,"dynamite"
142,"easier"
143,"elastic heart"
144,"electricity"
145,"evacuate the dance floor"
146,"everybody talks"
147,"everywhere"
148,"exit sign"
149,"fallin'"
150,"family affair"
151,"fancy"
152,"far away"
153,"feel it still"
154,"feel so close"
155,"feel this moment"
156,"feels"
157,"feels like tonight"
158,"fell good inc"
159,"fight song"
160,"fire burning"
161,"fireflies"
162,"firework"
163,"first time"
164,"float on"
165,"fly"
166,"fly"
167,"follow me"
168,"forever"
169,"forget you"
170,"fourfiveseconds"
171,"galway girl"
172,"gangnam style"
173,"gdfr"
174,"get the party started"
175,"ghost"
176,"giant"
177,"girl next door"
178,"girl on fire"
179,"girlfriend"
180,"girlfriend"
181,"girls and boys"
182,"girls like you"
183,"glad you came"
184,"glamorous"
185,"gold"
186,"good feeling"
187,"good life"
188,"good time"
189,"goodbye"
190,"gotta be somebody"
191,"hanging by a moment"
192,"hanging on"
193,"happier"
194,"happy"
195,"hate that i love you"
196,"havana"
197,"he loves u not"
198,"headstrong"
199,"heart attack"
200,"heartless"
201,"heaven"
202,"hello"
203,"hello"
204,"hello"
205,"here"
206,"here with me"
207,"here without you"
208,"hero"
209,"hero"
210,"hey baby"
211,"hey look ma, i made it"
212,"hey mama"
213,"hey soul sister"
214,"hey there delilah"
215,"hey ya!"
216,"hide away"
217,"high hopes"
218,"ho hey"
219,"hoedown throwdown"
220,"hold on"
221,"home"
222,"honest"
223,"hot n cold"
224,"hotline bling"
225,"how far i'll go"
226,"how long"
227,"hung up"
228,"i cry"
229,"i don't care"
230,"i don't wanna live forever"
231,"i don't want to be"
232,"i gotta feeling"
233,"i hate this part"
234,"i knew you were trouble"
235,"i like it"
236,"i like me better"
237,"i lived"
238,"i love it"
239,"i need your love"
240,"i want it that way"
241,"i want you to know"
242,"i'd do anything"
243,"i'm a believer"
244,"i'm gonna getcha good!"
245,"i'm real"
246,"i'm so tired..."
247,"i'm still in love with you"
248,"i'm yours"
249,"ice box"
250,"if everyone cared"
251,"if i ain't got you"
252,"if i can't have you"
253,"if i were a boy"
254,"if today was your last day"
255,"in my blood"
256,"in my feelings"
257,"incomplete"
258,"intuition"
259,"invisible"
260,"irreplaceable"
261,"issues"
262,"it ain't me"
263,"it ends tonight"
264,"it girl"
265,"it will rain"
266,"it's gonna be me"
267,"it's my life"
268,"it's not my time"
269,"it's not over"
270,"jealous"
271,"juju on that beat"
272,"just a friend 2002"
273,"just give me a reason"
274,"just got paid"
275,"just like fire"
276,"karma"
277,"kiss me"
278,"kryptonite"
279,"latch"
280,"lean on"
281,"let it go"
282,"let it rock"
283,"let me go"
284,"let me go"
285,"let me love you"
286,"let me love you"
287,"let's get it started"
288,"let's go"
289,"like i'm gonna lose you"
290,"live while we're young"
291,"live your life"
292,"locked out of heaven"
293,"lol"
294,"lonely no more"
295,"lonely no more"
296,"look what you made me do"
297,"lose my breath"
298,"lost boy"
299,"love lies"
300,"love me like you do"
301,"love somebody"
302,"love song"
303,"love story"
304,"love yourself"
305,"low"
306,"lucid dreams"
307,"magic"
308,"make some noise!"
309,"makes me wonder"
310,"malibu"
311,"maps"
312,"me against the music"
313,"me love"
314,"me too"
315,"me, myself & i"
316,"me, myself & i"
317,"me!"
318,"meant to be"
319,"meant to live"
320,"meet me halfway"
321,"mercy"
322,"mi gente"
323,"mia"
324,"mine"
325,"mine"
326,"mirrors"
327,"miss independent"
328,"more"
329,"move along"
330,"move it like this"
331,"moves like jagger"
332,"mr. saxobeat"
333,"my boo"
334,"my happy ending"
335,"my house"
336,"my immortal"
337,"my love"
338,"my love is your love"
339,"my way"
340,"natural"
341,"naturally"
342,"never again"
343,"never be like you"
344,"never forget you"
345,"never leave you"
346,"never really over"
347,"never say never"
348,"new rules"
349,"no air"
350,"no letting go"
351,"no one"
352,"no promises"
353,"no tears left to cry"
354,"nobody's home"
355,"now or never"
356,"obsession"
357,"ocean avenue"
358,"old town road"
359,"on my mind"
360,"on the floor"
361,"one call away"
362,"one dance"
363,"one kiss"
364,"one thing"
365,"one time"
366,"one touch"
367,"one week"
368,"out of the woods"
369,"outside"
370,"over my head"
371,"over you"
372,"paparazzi"
373,"paris"
374,"party rock anthem"
375,"payphone"
376,"perfect"
377,"perfect"
378,"photograph"
379,"photograph"
380,"please don't go"
381,"please don't leave me"
382,"pompeii"
383,"pon de replay"
384,"praying"
