"bad_word","numSongs"
NA,6469
"shit",57
"ass",43
"fuck",41
"damn",35
"bitch",32
"god",30
"hell",30
"kiss",28
"touch",27
"drink",26
"drink",26
"kill",19
"blow",17
"crazy",17
"sex",17
"drunk",15
"nigga",14
"skin",12
"champagne",9
"gun",9
"pill",9
"tit",7
"bang",6
"overdose",6
"booty",5
"bottle",5
"bullet",5
"chest",5
"gang",5
"liquor",5
"dope",4
"drug",4
"pimp",4
"butt",3
"devil",3
"wine",3
"christ",2
"dammit",2
"intoxicate",2
"murder",2
"beer",1
"cock",1
"grind",1
"jesus",1
"pussy",1
"retard",1
"trigger",1
"alcohol",0
"breast",0
