"idx","kb_song_name"
1,"1985"
2,"1 Thing"
3,"22"
4,"24K Magic"
5,"4 Minutes"
6,"7 Rings"
7,"7 Things"
8,"7 Years"
9,"Absolutely (Story Of A Girl)"
10,"Accidentally in Love"
11,"Ain't it fun"
12,"Airplanes"
13,"Alejandro"
14,"Alive"
15,"All About That Bass"
16,"All I Have"
17,"All Of Me"
18,"All Star"
19,"All The Right Moves"
20,"All The Small Things"
21,"All Time Low"
22,"All You Wanted"
23,"Already Gone"
24,"American Boy"
25,"Am I Wrong"
26,"A Moment Like This"
27,"Angel"
28,"Angel Of Mine"
29,"A Nightmare on My Street"
30,"Animal"
31,"Apologize"
32,"Applause"
33,"A Public Affair"
34,"Are You Gonna Be My Girl"
35,"Are You Happy Now?"
36,"As Long As You Love Me"
37,"A Thousand Miles"
38,"Attention"
39,"Baby"
40,"Back to You"
41,"Bad at Love"
42,"Bad Blood"
43,"Bad Day"
44,"Bad Liar"
45,"Bailamos"
46,"Battlefield"
47,"Beautiful"
48,"Beautiful (Bazzi)"
49,"Beautiful Girls"
50,"Beautiful Liar"
51,"Beautiful People"
52,"Beautiful Soul"
53,"Beauty And A Beat"
54,"Because of You"
55,"Behind These Hazel Eyes"
56,"Believe"
57,"Believer"
58,"Best Day Of My Life"
59,"Best Song Ever"
60,"Best Time Ever"
61,"Better in Time"
62,"Better Now"
63,"Beverly Hills"
64,"Be Without You"
65,"Big Girls Don't Cry"
66,"Billionaire"
67,"Black Horse & The Cherry Tree"
68,"Blame"
69,"Blank space"
70,"Bleeding Love"
71,"Blue (Da Ba Dee)"
72,"Boom Boom Pow"
73,"Boom Clap"
74,"Born This Way"
75,"Boston"
76,"Boulevard of Broken Dreams"
77,"Boyfriend"
78,"Brave"
79,"Breakaway"
80,"Breakeven"
81,"Break Free"
82,"Break Your Heart"
83,"Breathin"
84,"Bring It All To Me"
85,"Bring Me to Life"
86,"Bubbly"
87,"Bulletproof"
88,"Burn"
89,"Burnin' Up"
90,"Bye Bye Bye"
91,"Cake By The Ocean"
92,"California Gurls"
93,"Call Me Maybe"
94,"Can't Get You Out Of My Head"
95,"Can't Hold Us"
96,"Can't Stop The Feeling!"
97,"Castle on the Hill"
98,"Caught Up"
99,"Chained to the Rhythm"
100,"Chasing Cars"
101,"Cheerleader"
102,"Chicken Noodle Soup"
103,"Circus"
104,"Clarity"
105,"Closer"
106,"Close To Me"
107,"Club Can't Handle Me"
108,"Clumsy"
109,"Cold"
110,"Come Back to Me"
111,"Come Clean"
112,"Come & Get It"
113,"Come On Over Baby"
114,"Complicated"
115,"Confident"
116,"Congratulations"
117,"Cool"
118,"Cooler Than Me"
119,"Cool Kids"
120,"Counting stars"
121,"Crazy"
122,"Crazy For This Girl"
123,"Crazy in Love"
124,"Cruise"
125,"Crush"
126,"Crush (David Archuleta)"
127,"Cups"
128,"Damaged"
129,"Dance Again"
130,"Dare You to Move"
131,"Dark Horse"
132,"Diamonds"
133,"Dilemma"
134,"Disturbia"
135,"DJ Got US Falling In Love"
136,"Domino"
137,"Don't Forget About Us"
138,"Don't Let Me Down"
139,"Don't Let Me Get Me"
140,"Don't Matter"
141,"Don't Stop The Music"
142,"Don't Wanna Know"
143,"Down"
144,"Downtown"
145,"Do You Remember"
146,"Drag Me Down"
147,"Dynamite"
148,"Eastside"
149,"Elastic Heart"
150,"End Game"
151,"Evacuate The Dance Floor"
152,"Everybody Talks"
153,"Everything You Want"
154,"Everywhere"
155,"Ex's and Oh's"
156,"Fallin'"
157,"Family Affair"
158,"Fancy"
