"track.album.name","track.name","geniusSongName"
"Kidz Bop 28","Love Me Harder",NA
"Kidz Bop 28","Steal My Girl",NA
"Kidz Bop 28","The Heart Wants What It Wants",NA
"Kidz Bop 28","Heroes (We Could Be)",NA
"Kidz Bop 28","I'm Not The Only One",NA
"Kidz Bop 28","Thinking Out Loud",NA
"Kidz Bop 29","Sugar",NA
"Kidz Bop 29","Style",NA
"Kidz Bop 29","Time Of Our Lives",NA
"Kidz Bop 29","Love Me Like You Do",NA
"Kidz Bop 29","Want To Want Me",NA
"Kidz Bop 29","Outside",NA
"Kidz Bop 29","Shut Up And Dance",NA
"Kidz Bop 29","I Want You To Know",NA
"Kidz Bop 29","Dear Future Husband",NA
"Kidz Bop 29","Centuries",NA
"Kidz Bop 29","FourFiveSeconds",NA
"Kidz Bop 29","Honey I'm Good",NA
"Kidz Bop 30","I Don’t Like It, I Love It",NA
"Kidz Bop 30","Watch Me (Whip / Nae Nae)",NA
"KIDZ BOP 31","What Do You Mean?",NA
"KIDZ BOP 31","Ex's And Oh's",NA
"KIDZ BOP 31",NA,"Hello"
"KIDZ BOP 32","NO",NA
"KIDZ BOP 32","Don’t Let Me Down",NA
"KIDZ BOP 32","Life Of The Party",NA
"KIDZ BOP 33","Cheap Thrills",NA
"KIDZ BOP 33","Ride",NA
"KIDZ BOP 33","Me Myself & I",NA
"KIDZ BOP 33","Don’t Mind",NA
"KIDZ BOP 33","Never Be Like You",NA
"KIDZ BOP 33","Cold Water",NA
"KIDZ BOP 33","Sit Still, Look Pretty",NA
"KIDZ BOP 33","Lost Boy",NA
"KIDZ BOP 33","Try Everything",NA
"KIDZ BOP 34",NA,"Let Me Love You"
"KIDZ BOP 34","Don’t Wanna Know",NA
"KIDZ BOP 34","That’s My Girl",NA
"KIDZ BOP 34","We Don’t Talk Anymore",NA
"KIDZ BOP 35","Love On The Brain",NA
"KIDZ BOP 35","Castle On The Hill",NA
"KIDZ BOP 35","Chained To The Rhythm",NA
"KIDZ BOP 36","I'm The One",NA
"KIDZ BOP 36","Honest",NA
"KIDZ BOP 36",NA,"Bad Liar"
"KIDZ BOP 36","Crying In The Club",NA
"KIDZ BOP 36","2U",NA
"KIDZ BOP 36","Juju On That Beat",NA
"KIDZ BOP 36","How Far I’ll Go",NA
"KIDZ BOP 36","Let Me Love You - Live",NA
"KIDZ BOP 37","Bad At Love",NA
"KIDZ BOP 37","Perfect",NA
"KIDZ BOP 37","Too Good At Goodbyes",NA
"KIDZ BOP 37","...Ready For It?",NA
"KIDZ BOP 37","Good Old Days",NA
"KIDZ BOP 39 (Deluxe Edition)",NA,"Beautiful"
"KIDZ BOP 39 (Deluxe Edition)","Lost In Japan",NA
"KIDZ BOP 39 (Deluxe Edition)","Back To You",NA
"KIDZ BOP 39 (Deluxe Edition)","Delicate",NA
"KIDZ BOP 39 (Deluxe Edition)","I'm A Mess",NA
"KIDZ BOP 39 (Deluxe Edition)","Remind Me To Forget",NA
"KIDZ BOP 39 (Deluxe Edition)","Alone",NA
"KIDZ BOP 39 (Deluxe Edition)","Done For Me",NA
"KIDZ BOP 40","How Do You Sleep?",NA
"KIDZ BOP 40","Thank U, Next - US Version",NA
"KIDZ BOP 40",NA,"Cool"
"KIDZ BOP 40","Nothing Breaks Like A Heart - US Version",NA
"KIDZ BOP 40","When The Party's Over",NA
"KIDZ BOP 40","I've Been Waiting",NA
"KIDZ BOP 40","Nothing Breaks Like A Heart - UK Version",NA
