"kb_song_name","song_name","artist_name","toCheck","isCorrect"
"Break Your Heart","Break Your Heart Right Back (Ft. Childish Gambino)","Ariana Grande",1,""
"Breathin","​​breathin","Ariana Grande",1,""
"Broken","​the remedy for a broken heart (why am I so in love)","XXXTENTACION",1,""
"Bubbly","Bubbly","Colbie Caillat",1,""
"Bulletproof","FAKE LOVE","BTS",1,""
"Bye Bye Bye","Bye Bye Bye","*NSYNC",1,""
"Cake By The Ocean","Cake By the Ocean","DNCE",1,""
"California Gurls","California Gurls (Ft. Snoop Dogg)","Katy Perry",1,""
"Call Me Maybe","Call Me Maybe","Carly Rae Jepsen",1,""
"Can't Get You Out Of My Head","Can't Get You Out of My Head","Kylie Minogue",1,""
"Can't Hold Us","Can't Hold Us (Ft. Ray Dalton)","Macklemore & Ryan Lewis",1,""
"Can't Stop The Feeling!","CAN'T STOP THE FEELING!","Justin Timberlake",1,""
"Caught Up","Caught Up (Ft. Khalid)","Majid Jordan",1,""
"Chasing Cars","Chasing Cars","Snow Patrol",1,""
"Cheerleader","Cheerleader (Felix Jaehn Remix)","OMI",1,""
"Chicken Noodle Soup","Chicken Noodle Soup (Ft. Becky G)","​j-hope",1,""
"Circus","Paradise Circus (Ft. Hope Sandoval)","Massive Attack",1,""
"Clarity","Clarity (Ft. Foxes)","Zedd",1,""
"Closer","Closer (Ft. Halsey)","The Chainsmokers",1,""
"Close To Me","Close to Me (Ft. Swae Lee)","Ellie Goulding & Diplo",1,""
"Club Can't Handle Me","Club Can't Handle Me (Ft. David Guetta)","Flo Rida",1,""
"Clumsy","Clumsy","Fergie",1,""
"Cold","Something Just Like This","The Chainsmokers & Coldplay",1,""
"Come Clean","Come Clean","Jeru The Damaja",1,""
"Come & Get It","Come and See Me (Ft. Drake)","PARTYNEXTDOOR",1,""
"Come On Over Baby","Come On Over Baby (All I Want Is You) [Radio Version]","Christina Aguilera",1,""
"Complicated","Complicated","Avril Lavigne",1,""
"Confident","Confident (Ft. Chance the Rapper)","Justin Bieber",1,""
"Congratulations","Congratulations (Ft. Quavo)","Post Malone",1,""
"Cool","Gangsta's Paradise (Ft. L.V. (South Central Cartel))","Coolio",1,""
"Cooler Than Me","Cooler Than Me (Ft. Big Sean)","Mike Posner",1,""
"Cool Kids","Cool Kids","Echosmith",1,""
"Crazy","Codeine Crazy","Future",1,""
"Crazy For This Girl","Crazy for This Girl","Evan & Jaron",1,""
"Cruise","Cruise (Remix) (Ft. Nelly)","Florida Georgia Line",1,""
"Crush","Instant Crush (Ft. Julian Casablancas)","Daft Punk",1,""
"Cups","Cups (Pop Version)","Anna Kendrick",1,""
"Damaged","I Am Damaged (Ft. Barrett Wilbert Weed & Ryan McCartan)","Heathers the Musical Ensemble",1,""
"Dance Again","Dance Again","Selena Gomez",1,""
"Dark Horse","Dark Horse (Ft. Juicy J)","Katy Perry",1,""
"Diamonds","Diamonds Dancing","Drake & Future",1,""
"Dilemma","Dilemma (Ft. Kelly Rowland)","Nelly",1,""
"Disturbia","Disturbia","Rihanna",1,""
"Domino","Layla","Derek and the Dominos",1,""
"Don't Call Me Up","Don't Call Me Up","Mabel",1,""
"Don't Forget About Us","Don't Forget About Us","Mariah Carey",1,""
"Don't Let Me Get Me","Don't Let Me Get Me","P!nk",1,""
"Don't Matter","Don't Matter to Me","Drake & Michael Jackson",1,""
"Don't Stop The Music","Don't Stop the Music","Rihanna",1,""
"Down","Down in the DM","Yo Gotti",1,""
"Downtown","Downtown (Ft. Eric Nally, Grandmaster Caz, Grandmaster Melle Mel & Kool Moe Dee)","Macklemore & Ryan Lewis",1,""
"Do You Remember","Do You Remember (Ft. Death Cab for Cutie)","Chance the Rapper",1,""
"Drag Me Down","Drag Me Down","One Direction",1,""
"Dynamite","Homemade Dynamite","Lorde",1,""
"Easier","Easier","5 Seconds of Summer",1,""
"Elastic Heart","Elastic Heart (Hunger Games Version) (Ft. Diplo & The Weeknd)","Sia",1,""
"Electricity","Electricity","Silk City & Dua Lipa",1,""
"Evacuate The Dance Floor","Evacuate the Dancefloor (Ft. Carlprit)","Cascada",1,""
"Everybody Talks","Everybody Talks","Neon Trees",1,""
"Everywhere","Uber Everywhere","MadeinTYO",1,""
"Exit Sign","Exit Sign (Ft. Ecca Vandal & Illy)","Hilltop Hoods",1,""
"Fallin'","Can't Help Falling in Love","Elvis Presley",1,""
"Family Affair","Family Affair","Mary J. Blige",1,""
"Fancy","Fancy (Ft. Charli XCX)","Iggy Azalea",1,""
"Far Away","So Far Away (Ft. Jamie Scott & Romy Dya)","Martin Garrix & David Guetta",1,""
"Feel It Still","Feel It Still","Portugal. The Man",1,""
"Feels","Feels (Ft. Big Sean, Katy Perry & Pharrell Williams)","Calvin Harris",1,""
"Feels Like Tonight","Feels Like Tonight","Daughtry",1,""
"Feel So Close","Feel So Close","Calvin Harris",1,""
"Feel This Moment","Feel This Moment (Ft. Christina Aguilera)","Pitbull",1,""
"Fight Song","Fight Song","Rachel Platten",1,""
"Fire Burning","Fire Burning","Sean Kingston",1,""
"Fireflies","Fireflies","Owl City",1,""
"Firework","Fireworks (Ft. Alicia Keys)","Drake",1,""
"First Time","For the First Time in Forever (Ft. Idina Menzel & Kristen Bell)","Walt Disney Records",1,""
"Float On","Float On","Modest Mouse",1,""
"Fly","Fly Me to the Moon (Ft. Count Basie)","Frank Sinatra",1,""
"Follow Me","Follow Me","Vena E.",1,""
"Forever","Wu-Tang Forever","Drake",1,""
"Forget You","Can't Remember to Forget You (Ft. Rihanna)","Shakira",1,""
"Galway Girl","Galway Girl","Ed Sheeran",1,""
"Gangnam Style","Gangnam Style","PSY",1,""
"GDFR","GDFR (Ft. Lookas & Sage The Gemini)","Flo Rida",1,""
"Get The Party Started","Get the Party Started","P!nk",1,""
"Ghost","Ghost Town (Ft. PARTYNEXTDOOR)","Kanye West",1,""
"Giant","GIANTS (Ft. Becky G, DUCKWRTH, Keke Palmer, Soyeon ((G)I-DLE) & Thutmose)","True Damage",1,""
"Girlfriend","​break up with your girlfriend, i'm bored","Ariana Grande",1,""
"Girl Next Door","Girl Next Door","Alessia Cara",1,""
"Girl On Fire","Girl on Fire (Inferno Version) (Ft. Nicki Minaj)","Alicia Keys",1,""
"Girls And Boys","Girls and Boys in School","Neon Trees",1,""
"Girls Like You","Girls Like You (Remix) (Ft. Cardi B)","Maroon 5",1,""
"Glad You Came","Glad You Came","The Wanted",1,""
"Glamorous","Glamorous (Ft. Ludacris)","Fergie",1,""
"Gold","All Gold Everything","Trinidad James",1,""
"Goodbye","Too Good at Goodbyes","Sam Smith",1,""
"Good Feeling","Good Feeling","Flo Rida",1,""
"Good Life","Good Life","G-Eazy & Kehlani",1,""
"Good Time","I Know There's Gonna Be (Good Times) (Ft. Popcaan & Young Thug)","Jamie xx",1,""
"Gotta Be Somebody","Gotta Be Somebody","Nickelback",1,""
"Hanging By A Moment","Hanging by a Moment","Lifehouse",1,""
"Hanging On","Hanging On (Ft. Tinie Tempah)","Ellie Goulding",1,""
"Happier","Happier","Marshmello & Bastille",1,""
"Happy","Happy","Pharrell Williams",1,""
"Hate That I Love You","Hate That I Love You (Ft. Ne-Yo)","Rihanna",1,""
"Havana","Havana (Ft. Young Thug)","Camila Cabello",1,""
"Headstrong","Headstrong","Trapt",1,""
"Heart Attack","Heart Attack","Scarlxrd",1,""
"Heartless","Heartless","The Weeknd",1,""
"Heaven","Stairway to Heaven","Led Zeppelin",1,""
"Hello","Hello","Adele",1,""
"He Loves U Not","He Loves U Not","Dream (Girl Group)",1,""
"Here","Here","Alessia Cara",1,""
"Here With Me","Here With Me (Ft. CHVRCHES)","Marshmello",1,""
"Here Without You","Here Without You","3 Doors Down",1,""
"Hero","""Heroes""","David Bowie",1,""
"Hey Look Ma, I Made It","Hey Look Ma, I Made It","Panic! at the Disco",1,""
"Hey Mama","Hey Mama","Kanye West",1,""
"Hey Soul Sister","Hey, Soul Sister","Train",1,""
"Hey There Delilah","Hey There Delilah","Plain White T’s",1,""
"Hey Ya!","Hey Ya!","OutKast",1,""
"Hide Away","Hide Away","Daya",1,""
"High Hopes","High Hopes","Panic! at the Disco",1,""
"Hoedown Throwdown","Hoedown Throwdown","Miley Cyrus",1,""
"Ho Hey","Ho Hey","​The Lumineers",1,""
"Home","Drunk in Love (Ft. JAY-Z)","Beyoncé",1,""
"Hotline Bling","Hotline Bling","Drake",1,""
"Hot N Cold","Hot N Cold","Katy Perry",1,""
"How Long","How Long","Charlie Puth",1,""
"Hung Up","Hung Up","Madonna",1,""
"Ice Box","Ice Box","Omarion",1,""
"I Cry","Sometimes I Cry (Poem)","2Pac",1,""
"I'd Do Anything","I'd Do Anything for Love (But I Won't Do That)","Meat Loaf",1,""
"I Don't Care","I Don't Care","Ed Sheeran & Justin Bieber",1,""
"I Don't Wanna Live Forever","I Don't Wanna Live Forever","ZAYN & Taylor Swift",1,""
"If Everyone Cared","If Everyone Cared","Nickelback",1,""
"If I Ain't Got You","If I Ain't Got You","Alicia Keys",1,""
"If I Can't Have You","If I Can't Have You","Shawn Mendes",1,""
"If I Were A Boy","If I Were a Boy","Beyoncé",1,""
"If Today Was Your Last Day","If Today Was Your Last Day","Nickelback",1,""
"I Gotta Feeling","I Gotta Feeling (Ft. David Guetta)","The Black Eyed Peas",1,""
"I Hate This Part","I Hate This Part","The Pussycat Dolls",1,""
"I Knew You Were Trouble","I Knew You Were Trouble","Taylor Swift",1,""
"I Like It","I Like It","Cardi B, Bad Bunny & J Balvin",1,""
"I Like Me Better","I Like Me Better","Lauv",1,""
"I Lived","Where I Lived, and What I Lived For","Henry David Thoreau",1,""
"I Love It","I Love It (Ft. Adele Givens)","Lil Pump & Kanye West",1,""
"I'm A Believer","I'm a Believer","The Monkees",1,""
"I'm Gonna Getcha Good!","I'm Gonna Getcha Good!","Shania Twain",1,""
"I'm Real","I'm Real (Murder Remix) (Ft. Ja Rule)","Jennifer Lopez",1,""
"I'm So Tired...","​i'm so tired...","Lauv & Troye Sivan",1,""
"I'm Yours","I'm Yours","Jason Mraz",1,""
"I Need Your Love","Habibi (I Need Your love) (Ft. Costi, Faydee & Mohombi)","Shaggy",1,""
"In My Blood","In My Blood","Shawn Mendes",1,""
"In My Feelings","In My Feelings","Drake",1,""
"Irreplaceable","Irreplaceable","Beyoncé",1,""
"Issues","Issues","Julia Michaels",1,""
"It Ain't Me","It Ain't Me","Kygo & Selena Gomez",1,""
"It Ends Tonight","It Ends Tonight","The All-American Rejects",1,""
"It Girl","It Girl","Jason Derulo",1,""
"It's Gonna Be Me","It's Gonna Be Me","*NSYNC",1,""
"It's Not My Time","It's Not My Time","3 Doors Down",1,""
"It's Not Over","It's Not Over","Daughtry",1,""
"It Will Rain","It Will Rain","Bruno Mars",1,""
"I Want It That Way","I Want It That Way","Backstreet Boys",1,""
"Jealous","Jealous","Labrinth",1,""
"Just A Friend 2002","Just a Friend 2002","Mario",1,""
"Just Give Me A Reason","Just Give Me a Reason (Ft. Nate Ruess)","P!nk",1,""
"Just Got Paid","Just Got Paid (Ft. French Montana)","Sigala, Ella Eyre & Meghan Trainor",1,""
"Just Like Fire","Just Like Fire","P!nk",1,""
"Karma","KARMA","Şehinşah",1,""
"Kiss Me","Kiss Me Thru the Phone (Ft. Sammie)","Soulja Boy Tell ’Em",1,""
"Kryptonite","Kryptonite","3 Doors Down",1,""
"Latch","Latch (Ft. Sam Smith)","Disclosure",1,""
"Lean On","Lean On (Ft. DJ Snake & MØ)","Major Lazer",1,""
"Let It Go","Let It Go","James Bay",1,""
"Let It Rock","Let It Rock (Ft. Lil Wayne)","Kevin Rudolf",1,""
"Let Me Go","Let Me Go (Ft. Florida Georgia Line & ​watt)","Hailee Steinfeld & Alesso",1,""
"Let Me Love You","Let Me Love You (Ft. Justin Bieber)","DJ Snake",1,""
"Let's Get It Started","Bitches & Bottles (Let's Get It Started) (Ft. Future, Lil Wayne & T.I.)","DJ Khaled",1,""
"Let's Go","Let's Go Crazy","Prince and the Revolution",1,""
"Like I'm Gonna Lose You","Like I'm Gonna Lose You (Ft. John Legend)","Meghan Trainor",1,""
"Live While We're Young","Live While We're Young","One Direction",1,""
"Live Your Life","Live Your Life (Ft. Rihanna)","T.I.",1,""
"Locked Out Of Heaven","Locked Out of Heaven","Bruno Mars",1,""
"Lonely No More","Lonely No More","Rob Thomas",1,""
"Look What You Made Me Do","Look What You Made Me Do","Taylor Swift",1,""
"Lose My Breath","Lose My Breath","Destiny’s Child",1,""
"Love Lies","Love Lies","Khalid & Normani",1,""
"Love Somebody","Love Somebody","Maroon 5",1,""
"Love Song","Secret Love Song (Ft. Jason Derulo)","Little Mix",1,""
"Love Story","Love Story","Taylor Swift",1,""
"Love Yourself","Love Yourself","Justin Bieber",1,""
"Low","Low Life (Ft. The Weeknd)","Future",1,""
"Lucid Dreams","Lucid Dreams","Juice WRLD",1,""
"Magic","Te Boté (Remix) (Ft. Darell, Nicky Jam & Ozuna)","Nio García, Casper Mágico & Bad Bunny",1,""
"Makes Me Wonder","Makes Me Wonder","Ella Mai",1,""
"MAKE SOME NOISE!","Make Some Noise","Beastie Boys",1,""
"Malibu","Malibu","Miley Cyrus",1,""
"Maps","Maps","Maroon 5",1,""
"ME!","Look At Me!","XXXTENTACION",1,""
"Meant To Be","Meant to Be (Ft. Florida Georgia Line)","Bebe Rexha",1,""
"Meet Me Halfway","Meet Me Halfway","The Black Eyed Peas",1,""
"Me Love","Let Me Love You (Ft. Justin Bieber)","DJ Snake",1,""
"Mercy","Mercy (Ft. 2 Chainz, Big Sean & Pusha T)","Kanye West",1,""
"Me Too","Me Too","Meghan Trainor",1,""
"MIA","I'm the One (Ft. Chance the Rapper, Justin Bieber, Lil Wayne & Quavo)","DJ Khaled",1,""
"Mi Gente","Mi Gente","J Balvin & Willy William",1,""
"Mine","All Mine","Kanye West",1,""
"Mirrors","Mirrors","Justin Timberlake",1,""
"Miss Independent","Miss Independent","Ne-Yo",1,""
"More","No More Parties in LA (Ft. Kendrick Lamar)","Kanye West",1,""
"Move Along","Move Along","The All-American Rejects",1,""
"Move It Like This","Move It Like This","K7",1,""
"Moves Like Jagger","Moves Like Jagger (Ft. Christina Aguilera)","Maroon 5",1,""
"Mr. Saxobeat","Mr. Saxobeat","Alexandra Stan",1,""
"My Boo","My Boo (Ft. Alicia Keys)","Usher",1,""
"My Happy Ending","My Happy Ending","Avril Lavigne",1,""
"My House","My House","Flo Rida",1,""
"My Immortal","My Immortal","Evanescence",1,""
"My Love","Send My Love (To Your New Lover)","Adele",1,""
"My Love Is Your Love","My Love is Your Love (Remix) (Ft. Dyme, Kristína & Wyclef Jean)","Whitney Houston",1,""
"My Way","My Way (Remix) (Ft. Drake)","Fetty Wap",1,""
"Natural","Natural","Imagine Dragons",1,""
"Never Again","Never Again","Trey Songz",1,""
"Never Forget You","Never Forget You","Zara Larsson & MNEK",1,""
"Never Really Over","Never Really Over","Katy Perry",1,""
"Never Say Never","Never Say Never (Ft. Jaden)","Justin Bieber",1,""
"New Rules","New Rules","Dua Lipa",1,""
"No Air","No Air (Ft. Chris Brown)","Jordin Sparks",1,""
"No Letting Go","No Letting Go","Wayne Wonder",1,""
"No One","No One","Alicia Keys",1,""
"No Promises","No Promises","A Boogie Wit da Hoodie",1,""
"No Tears Left To Cry","​​no tears left to cry","Ariana Grande",1,""
"Now Or Never","Now or Never","Halsey",1,""
"Ocean Avenue","Ocean Avenue","Yellowcard",1,""
"Old Town Road","Old Town Road (Remix) (Ft. Billy Ray Cyrus)","Lil Nas X",1,""
"One Call Away","One Call Away","Charlie Puth",1,""
"One Dance","One Dance (Ft. Kyla & Wizkid)","Drake",1,""
"One Kiss","One Kiss","Calvin Harris & Dua Lipa",1,""
"One Thing","Одно я знал / Выдох (One Thing I Knew / Exhalation)","T-Fest",1,""
"One Time","One Time 4 Your Mind","Nas",1,""
"One Touch","One Touch (Ft. AlunaGeorge & Rae Sremmurd)","Baauer",1,""
"One Week","One Week","Barenaked Ladies",1,""
"On My Mind","Murder on My Mind","YNW Melly",1,""
"On The Floor","Versace on the Floor","Bruno Mars",1,""
"Out Of The Woods","Out of the Woods","Taylor Swift",1,""
"Over You","CAN'T GET OVER YOU (Ft. Clams Casino)","Joji",1,""
"Paparazzi","Paparazzi","Lady Gaga",1,""
"Paris","Niggas in Paris","JAY-Z & Kanye West",1,""
"Party Rock Anthem","Party Rock Anthem (Ft. Lauren Bennett & Listenbee)","LMFAO",1,""
"Payphone","Payphone (Ft. Wiz Khalifa)","Maroon 5",1,""
"Photograph","Photograph","Ed Sheeran",1,""
"Please Don't Go","Please Don't Go","Joel Adams",1,""
"Please Don't Leave Me","Please Don't Leave Me","P!nk",1,""
"Pompeii","Pompeii","Bastille",1,""
"Praying","Praying","Kesha",1,""
"Price Tag","Price Tag (Ft. B.o.B)","Jessie J",1,""
"Problem","Fuckin' Problems (Ft. 2 Chainz, Drake & Kendrick Lamar)","A$AP Rocky",1,""
"Pump It","Pump It","The Black Eyed Peas",1,""
"Put Your Records On","Put Your Records On","Corinne Bailey Rae",1,""
"Rather Be","Rather Be (Ft. Jess Glynne)","Clean Bandit",1,""
"Really Don't Care","Really Don't Care (Ft. Cher Lloyd)","Demi Lovato",1,""
"Renegades","Renegades","X Ambassadors",1,""
"Replay","Replay","Iyaz",1,""
"Rise","Rise (Ft. Jack & Jack)","Jonas Blue",1,""
"Roar","Roar","Katy Perry",1,""
"Rocketeer","Rocketeer (Ft. Ryan Tedder)","Far East Movement",1,""
"Rolling In The Deep","Rolling in the Deep","Adele",1,""
"Royals","Royals","Lorde",1,""
"Rude","Rude","MAGIC!",1,""
"Ruin My Life","Ruin My Life","Zara Larsson",1,""
"Rush","Мой кайф (My Rush)","Pharaoh",1,""
"Same Old Love","Same Old Love","Selena Gomez",1,""
"Savin' Me","Savin' Me","Nickelback",1,""
"Say It Right","Say It Right","Nelly Furtado",1,""
"Say Something","Say Something (Ft. Christina Aguilera)","A Great Big World",1,""
"Say You Won't Let Go","Say You Won't Let Go","James Arthur",1,""
"Scars To Your Beautiful","Scars to Your Beautiful","Alessia Cara",1,""
"Scream & Shout","Scream & Shout (Ft. Britney Spears)","​will.i.am",1,""
"Second Chance","Second Chance","Shinedown",1,""
"See You Again","See You Again (Ft. Charlie Puth)","Wiz Khalifa",1,""
"Send My Love","Send My Love (To Your New Lover)","Adele",1,""
"Señorita","Señorita","Shawn Mendes & Camila Cabello",1,""
"Shake It Off","Shake It Off","Taylor Swift",1,""
"Shallow","Shallow","Lady Gaga & Bradley Cooper",1,""
"She Will Be Loved","She Will Be Loved","Maroon 5",1,""
"Shower","Hot Shower (Ft. DaBaby & MadeinTYO)","Chance the Rapper",1,""
"Since U Been Gone","Since U Been Gone","Kelly Clarkson",1,""
"Soak Up The Sun","Soak Up the Sun","Sheryl Crow",1,""
"Somebody","Somebody That I Used to Know (Ft. Kimbra)","Gotye",1,""
"Some Nights","Some Nights","​fun.",1,""
"Someone Like You","Someone Like You","Adele",1,""
"Someone You Loved","Someone You Loved","Lewis Capaldi",1,""
"Something Just Like This","Something Just Like This","The Chainsmokers & Coldplay",1,""
"Sorry","Sorry","Justin Bieber",1,""
"Sorry Not Sorry","Sorry Not Sorry","Demi Lovato",1,""
"SOS","Love Sosa","Chief Keef",1,""
"So What","So What","BTS",1,""
"So Yesterday","Yesterday","Chief Keef",1,""
"Starships","Starships","Nicki Minaj",1,""
"Starving","Starving (Ft. Zedd)","Hailee Steinfeld & Grey",1,""
"Stay","Stay","Zedd & Alessia Cara",1,""
"Steal My Sunshine","Steal My Sunshine","Len",1,""
"Stereo Hearts","Stereo Hearts (Ft. Adam Levine)","Gym Class Heroes",1,""
"Stickwitu","Stickwitu","The Pussycat Dolls",1,""
"Still Got Time","Still Got Time (Ft. PARTYNEXTDOOR)","ZAYN",1,""
"Stitches","Stitches","Shawn Mendes",1,""
"Stressed Out","Stressed Out","​twenty one pilots",1,""
"Stronger","Stronger","Kanye West",1,""
"Sucker","Sucker for Pain (Ft. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign",1,""
"Suit & Tie","Suit & Tie (Ft. JAY-Z)","Justin Timberlake",1,""
"Summer Girls","Girls Talk Boys","5 Seconds of Summer",1,""
"Summertime Sadness","Summertime Sadness","Lana Del Rey",1,""
"Sunflower","Sunflower","Post Malone & Swae Lee",1,""
"Superstar","Superstar (Ft. Matthew Santos)","Lupe Fiasco",1,""
"Survivor","Survivor","Destiny’s Child",1,""
"Sweet Dreams","Sweet Dreams (Are Made of This)","Eurythmics",1,""
"Take You There","Take You There","H.E.R.",1,""
"Talk","Walk It Talk It (Ft. Drake)","Migos",1,""
"Tattoo","Kissin' on My Tattoos","August Alsina",1,""
"Telephone","Telephone Calls (Ft. A$AP Rocky, Playboi Carti, Tyler, The Creator & Yung Gleesh)","A$AP Mob",1,""
"Tell Me Something I Don't Know","Tell Me Something I Don't Know","Selena Gomez & The Scene",1,""
"That Don't Impress Me Much","That Don't Impress Me Much","Shania Twain",1,""
"That's What I Like","That's What I Like","Bruno Mars",1,""
"The Climb","The Climb","Miley Cyrus",1,""
"The Edge Of Glory","The Edge of Glory","Lady Gaga",1,""
"The Git Up","The Git Up","Blanco Brown",1,""
"The Great Escape","Tangled in the Great Escape (Ft. Jason Aalon Butler)","Pierce The Veil",1,""
"The Greatest","The Greatest Show (Ft. Keala Settle, Zac Efron & Zendaya)","Hugh Jackman",1,""
"The Ketchup Song","The Ketchup Song (Aserejé) (Spanglish version)","Las Ketchup",1,""
"The Lazy Song","The Lazy Song","Bruno Mars",1,""
"The Middle","The Middle","Zedd, Maren Morris & Grey",1,""
"The One That Got Away","The One That Got Away","Katy Perry",1,""
"The Only Exception","The Only Exception","Paramore",1,""
"The Reason","You Are the Reason","Calum Scott",1,""
"There's Nothing Holdin' Me Back","There's Nothing Holdin' Me Back","Shawn Mendes",1,""
"The Story Of Us","The Story of Us","Taylor Swift",1,""
"The Sweet Escape","The Sweet Escape (Ft. Akon)","Gwen Stefani",1,""
"The Time","Sign of the Times","Harry Styles",1,""
"This Feeling","This Feeling (Ft. Kelsea Ballerini)","The Chainsmokers",1,""
"This Is Me","This Is Me","Keala Settle",1,""
"This Is What You Came For","This Is What You Came For (Ft. Rihanna)","Calvin Harris",1,""
"This Love","BLACKPINK - Kill This Love (Romanized)","Genius Romanizations",1,""
"This Town","Run This Town (Ft. Kanye West & Rihanna)","JAY-Z",1,""
"Thrift Shop","Thrift Shop (Ft. Wanz)","Macklemore & Ryan Lewis",1,""
"Thunder","Thunder","Imagine Dragons",1,""
"Till The World Ends","Till the World Ends (The Femme Fatale Remix) (Ft. Kesha & Nicki Minaj)","Britney Spears",1,""
"Tonight Tonight","Tonight, Tonight","The Smashing Pumpkins",1,""
"Too Close","Too Close (Ft. Vernell ""Vee"" Sales)","Next",1,""
"Too Little Too Late","Too Little Too Late","JoJo",1,""
"Toxic","Toxic","Britney Spears",1,""
"Treasure","Treasure","Bruno Mars",1,""
"Treat You Better","Treat You Better","Shawn Mendes",1,""
"True","True Colors","The Weeknd",1,""
"Truth Hurts","Truth Hurts","Lizzo",1,""
"Try Again","Try Again (Ft. Timbaland)","Aaliyah",1,""
"Two Is Better Than One","Two Is Better Than One (Ft. Taylor Swift)","Boys Like Girls",1,""
"U Don't Have To Call","U Don't Have to Call","Childish Gambino",1,""
"Uma Thurman","Uma Thurman","Fall Out Boy",1,""
