"kb_song_name","song_name","artist_name","toCheck","isCorrect"
"1985","1985","J. Cole",1,""
"1 Thing","1 Thing i know","Rich Homie Quan",1,""
"22","223's (Ft. YNW Melly)","9LOKKNINE",1,""
"24K Magic","24K Magic","Bruno Mars",1,""
"4 Minutes","4 Minutes of Hell Part 2","G Herbo",1,""
"7 Rings","7 rings","Ariana Grande",1,""
"7 Things","7 Things","Miley Cyrus",1,""
"7 Years","7 Years","Lukas Graham",1,""
"Airplanes","Airplanes (Ft. Hayley Williams)","B.o.B",1,""
"Alejandro","Toda (Remix)","Alex Rose, Rauw Alejandro, Cazzu, Lenny Tavárez & Lyanno",1,""
"Alive","Look Alive (Ft. Drake)","BlocBoy JB",1,""
"All About That Bass","All About That Bass","Meghan Trainor",1,""
"All Of Me","All of Me","John Legend",1,""
"All Star","All Star","Smash Mouth",1,""
"All The Right Moves","All the Right Moves","OneRepublic",1,""
"All The Small Things","All the Small Things","​​blink-182",1,""
"All Time Low","All Time Low (Ft. Travis Mendes)","Jon Bellion",1,""
"All You Wanted","All You Wanted by Michelle Branch","Hot Mulligan",1,""
"Already Gone","Already Gone","Sleeping at Last",1,""
"American Boy","American Boy (Ft. Kanye West)","Estelle",1,""
"Am I Wrong","Am I Wrong","Nico & Vinz",1,""
"A Moment Like This","A Moment Like This","Kelly Clarkson",1,""
"Angel","Angel","The Weeknd",1,""
"Angel Of Mine","Angel of Mine","Monica",1,""
"Animal","The House of the Rising Sun","The Animals",1,""
"Apologize","Apologize","OneRepublic",1,""
"Applause","Applause","Lady Gaga",1,""
"A Public Affair","A Public Affair","Jessica Simpson",1,""
"Are You Gonna Be My Girl","Are You Gonna Be My Girl","Jet (band)",1,""
"As Long As You Love Me","As Long As You Love Me (Ft. Big Sean)","Justin Bieber",1,""
"A Thousand Miles","A Thousand Miles","Vanessa Carlton",1,""
"Attention","Attention","Charlie Puth",1,""
"Baby","Love Me (Ft. Drake & Future)","Lil Wayne",1,""
"Bad Blood","Bad Blood (Remix) (Ft. Kendrick Lamar)","Taylor Swift",1,""
"Bad Day","Bad Day","Daniel Powter",1,""
"Bad Liar","Bad Liar","Selena Gomez",1,""
"Bailamos","Bailamos","Enrique Iglesias",1,""
"Battlefield","Love is a Battlefield","Pat Benatar",1,""
"Be Alright","Be Alright","Dean Lewis",1,""
"Beautiful","Young and Beautiful","Lana Del Rey",1,""
"Beautiful Girls","Beautiful Girls","Sean Kingston",1,""
"Beautiful Liar","Beautiful Liar (Ft. Shakira)","Beyoncé",1,""
"Beautiful People","Beautiful People (Ft. Khalid)","Ed Sheeran",1,""
"Beautiful Soul","Beautiful Soul","Jesse McCartney",1,""
"Beauty And A Beat","Beauty and a Beat (Ft. Nicki Minaj)","Justin Bieber",1,""
"Behind These Hazel Eyes","Behind These Hazel Eyes","Kelly Clarkson",1,""
"Believe","Believer","Imagine Dragons",1,""
"Believer","Believer","Imagine Dragons",1,""
"Best Day Of My Life","Best Day of My Life","American Authors",1,""
"Best Song Ever","Best Song Ever","One Direction",1,""
"Best Time Ever","Best Time Ever","Kidz Bop Kids",1,""
"Better Now","Better Now","Post Malone",1,""
"Beverly Hills","Beverly Hills","Weezer",1,""
"Be Without You","Be Without You","Mary J. Blige",1,""
"Big Girls Don't Cry","Big Girls Don't Cry (Personal)","Fergie",1,""
"Billionaire","Monster (Ft. Bon Iver, JAY-Z, Nicki Minaj & Rick Ross)","Kanye West",1,""
"Black Horse & The Cherry Tree","Black Horse & The Cherry Tree","KT Tunstall",1,""
"Blame","Blame Game (Ft. John Legend)","Kanye West",1,""
"Bleeding Love","Bleeding Love","Leona Lewis",1,""
"Boom Boom Pow","Boom Boom Pow","The Black Eyed Peas",1,""
"Boom Clap","Boom Clap","Charli XCX",1,""
"Born This Way","Born This Way","Lady Gaga",1,""
"Boston","More Than A Feeling","Boston",1,""
"Boyfriend","Boyfriend","Ariana Grande & Social House",1,""
"Boy With Luv","BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized)","Genius Romanizations",1,""
"Breakaway","Breakaway","Kelly Clarkson",1,""
"Breakeven","Breakeven","The Script",1,""
"Break Free","Break Free (Ft. Zedd)","Ariana Grande",1,""
"Break Up With Your Girlfriend, I'm Bored","​break up with your girlfriend, i'm bored","Ariana Grande",1,""
