"kb_song_name","song_id","song_name","song_lyrics_url","artist_id","artist_name"
"Hey Baby",3165395,"Hey Baby Remix (Ft. Blizzy (SWE), Elias Abbas, Jireel & Mwuana)","https://genius.com/Lamix-hey-baby-remix-lyrics",653485,"Lamix"
"Hero",117078,"""Heroes""","https://genius.com/David-bowie-heroes-lyrics",9534,"David Bowie"
"Sk8ter Boi",4294414,"Fine With Me","https://genius.com/Denise-kim-fine-with-me-lyrics",1722039,"Denise Kim"
"The Anthem",2151,"The Anthem (Ft. Chino XL, Eminem, Jayo Felony, Kool G Rap, KRS-One, Pharoahe Monch, RZA, Tech N9ne & Xzibit)","https://genius.com/Sway-and-king-tech-the-anthem-lyrics",1032,"Sway & King Tech"
"The Game of Love",151346,"The Game of Love","https://genius.com/Daft-punk-the-game-of-love-lyrics",13585,"Daft Punk"
"Cry Me A River",52466,"Cry Me a River","https://genius.com/Justin-timberlake-cry-me-a-river-lyrics",334,"Justin Timberlake"
"Intuition",3287083,"Intuition","https://genius.com/Dadju-intuition-lyrics",18906,"Dadju"
"Invisible",2990382,"Invisible","https://genius.com/Linkin-park-invisible-lyrics",1581,"Linkin Park"
"It's My Life",203021,"It's My Life","https://genius.com/Bon-jovi-its-my-life-lyrics",16698,"Bon Jovi"
"Someday",3530245,"Someday (Ft. Meg Donnelly & Milo Manheim)","https://genius.com/Cast-zombies-someday-lyrics",1395485,"Cast - ZOMBIES"
"Never Leave You",199794,"Never Leave You (Uh Oooh, Uh Oooh)","https://genius.com/Lumidee-never-leave-you-uh-oooh-uh-oooh-lyrics",8591,"Lumidee"
"Me Against the Music",193598,"Me Against the Music (Ft. Madonna)","https://genius.com/Britney-spears-me-against-the-music-lyrics",1052,"Britney Spears"
"Perfect",2953761,"Perfect","https://genius.com/Ed-sheeran-perfect-lyrics",12418,"Ed Sheeran"
"Cinderella",2858791,"Cinderella (Ft. Ty Dolla $ign)","https://genius.com/Mac-miller-cinderella-lyrics",820,"Mac Miller"
"Me, Myself & I",2329765,"Me, Myself & I","https://genius.com/G-eazy-and-bebe-rexha-me-myself-and-i-lyrics",1839646,"G-Eazy & Bebe Rexha"
"Hold On",200546,"Hold On, We're Going Home (Ft. Majid Jordan)","https://genius.com/Drake-hold-on-were-going-home-lyrics",130,"Drake"
"Meant to Live",198751,"Meant to Live","https://genius.com/Switchfoot-meant-to-live-lyrics",27207,"Switchfoot"
"I'm Still in Love with You",503608,"I'm Still in Love with You (Ft. Sasha)","https://genius.com/Sean-paul-im-still-in-love-with-you-lyrics",740,"Sean Paul"
"I Don't Want to Be",84166,"I Don't Want to Be","https://genius.com/Gavin-degraw-i-dont-want-to-be-lyrics",17412,"Gavin DeGraw"
"Obsession",3182604,"Depression & Obsession","https://genius.com/Xxxtentacion-depression-and-obsession-lyrics",396565,"XXXTENTACION"
"Rich Girl",201791,"Rich Girl","https://genius.com/Hall-and-oates-rich-girl-lyrics",49926,"Hall & Oates"
"Vertigo",4027736,"Vertigo","https://genius.com/Khalid-vertigo-lyrics",9932,"Khalid"
"1, 2 step",13852,"1, 2 Step (Ft. Missy Elliott)","https://genius.com/Ciara-1-2-step-lyrics",1630,"Ciara"
"Lonely No More",431147,"Lonely No More","https://genius.com/Rob-thomas-lonely-no-more-lyrics",37260,"Rob Thomas"
