"kb_song_name","song_id","song_name","song_lyrics_url","artist_id","artist_name"
"Nobody's Home",198944,"Nobody's Home","https://genius.com/Avril-lavigne-nobodys-home-lyrics",2224,"Avril Lavigne"
"Incomplete",655,"A Life in the Day of Benjamin André (Incomplete)","https://genius.com/Andre-3000-a-life-in-the-day-of-benjamin-andre-incomplete-lyrics",14266,"André 3000"
"Take Me Out",77125,"Take Me Out","https://genius.com/Franz-ferdinand-take-me-out-lyrics",21216,"Franz Ferdinand"
"Don't Lie",128053,"Hips Don't Lie (Ft. Wyclef Jean)","https://genius.com/Shakira-hips-dont-lie-lyrics",1405,"Shakira"
"Wake Me Up When September Ends",66873,"Wake Me Up When September Ends","https://genius.com/Green-day-wake-me-up-when-september-ends-lyrics",632,"Green Day"
"Pon de Replay",134525,"Pon de Replay","https://genius.com/Rihanna-pon-de-replay-lyrics",89,"Rihanna"
"These Words",347229,"These Words","https://genius.com/Natasha-bedingfield-these-words-lyrics",1001,"Natasha Bedingfield"
"You and Me",3142086,"You and Me (Ft. Booboo Stewart, Cameron Boyce, Dove Cameron, Jeff Lewis, Mitchell Hope & Sofia Carson)","https://genius.com/Descendants-2-cast-you-and-me-lyrics",1222927,"Descendants 2 Cast"
"Fell Good Inc",1077984,"Vampires","https://genius.com/Iron-man-band-vampires-lyrics",1182469,"Iron Man (band)"
"Chariot",2856126,"Chariot of Fire","https://genius.com/Uicideboy-chariot-of-fire-lyrics",213444,"$UICIDEBOY$"
"We Belong Together",66302,"We Belong Together","https://genius.com/Mariah-carey-we-belong-together-lyrics",1205,"Mariah Carey"
"Speed of Sound",52706,"Speed of Sound","https://genius.com/Coldplay-speed-of-sound-lyrics",8351,"Coldplay"
"Wake Up",3876997,"WAKE UP (Ft. The Weeknd)","https://genius.com/Travis-scott-wake-up-lyrics",20185,"Travis Scott"
"Axel F",1866077,"Forest Fires","https://genius.com/Axel-flovent-forest-fires-lyrics",408044,"Axel Flóvent"
"Over My Head",197591,"Over My Head (Cable Car)","https://genius.com/The-fray-over-my-head-cable-car-lyrics",7807,"The Fray"
"Girlfriend",4226433,"​break up with your girlfriend, i'm bored","https://genius.com/Ariana-grande-break-up-with-your-girlfriend-im-bored-lyrics",26507,"Ariana Grande"
"What Goes Around...Comes Around",3396675,"What Goes Around...Comes Around","https://genius.com/Baleia-what-goes-around-comes-around-lyrics",458673,"Baleia"
"Cupid's Chokehold",21991,"Cupid's Chokehold / Breakfast in America (Ft. Patrick Stump)","https://genius.com/Gym-class-heroes-cupids-chokehold-breakfast-in-america-lyrics",1083,"Gym Class Heroes"
"With Love",3651356,"Stupid With Love (Ft. Erika Henningsen & Kyle Selig)","https://genius.com/Original-broadway-cast-of-mean-girls-stupid-with-love-lyrics",1441181,"Original Broadway Cast of Mean Girls"
"With You",517618,"I Don't Fuck With You (Ft. E-40)","https://genius.com/Big-sean-i-dont-fuck-with-you-lyrics",492,"Big Sean"
"LOL",3577666,"I don't even speak spanish lol (Ft. Carlos Andrez, Judah & Rio Santana)","https://genius.com/Xxxtentacion-i-dont-even-speak-spanish-lol-lyrics",396565,"XXXTENTACION"
"Whataya Want from Me",209173,"Whataya Want From Me","https://genius.com/Adam-lambert-whataya-want-from-me-lyrics",25136,"Adam Lambert"
"Naturally",3040128,"NATURALLY","https://genius.com/Amir-obe-naturally-lyrics",206705,"Amir Obè"
"Perfect",2953761,"Perfect","https://genius.com/Ed-sheeran-perfect-lyrics",12418,"Ed Sheeran"
"Fly",118812,"Fly Me to the Moon (Ft. Count Basie)","https://genius.com/Frank-sinatra-fly-me-to-the-moon-lyrics",824,"Frank Sinatra"
"Drive By",103716,"Drive-By","https://genius.com/Kollegah-and-farid-bang-drive-by-lyrics",14435,"Kollegah & Farid Bang"
"Boyfriend",4737178,"Boyfriend","https://genius.com/Ariana-grande-and-social-house-boyfriend-lyrics",1898307,"Ariana Grande & Social House"
"Don't Stop the Party",121177,"Don't Stop the Party (Ft. TJR)","https://genius.com/Pitbull-dont-stop-the-party-lyrics",628,"Pitbull"
"Timber",115743,"Mirrors","https://genius.com/Justin-timberlake-mirrors-lyrics",334,"Justin Timberlake"
"Sing",90479,"Sing About Me, I'm Dying of Thirst","https://genius.com/Kendrick-lamar-sing-about-me-im-dying-of-thirst-lyrics",1421,"Kendrick Lamar"
"Team",2836161,"Ohne mein Team (Ft. Maxwell 187)","https://genius.com/Bonez-mc-and-raf-camora-ohne-mein-team-lyrics",978712,"Bonez MC & RAF Camora"
"The Man",3008446,"Feel It Still","https://genius.com/Portugal-the-man-feel-it-still-lyrics",52078,"Portugal. The Man"
"Sugar",453,"Rapper's Delight","https://genius.com/Sugarhill-gang-rappers-delight-lyrics",313,"Sugarhill Gang"
"Style",3040789,"Sign of the Times","https://genius.com/Harry-styles-sign-of-the-times-lyrics",22457,"Harry Styles"
"Time Of Our Lives",579177,"Time of Our Lives","https://genius.com/Pitbull-and-ne-yo-time-of-our-lives-lyrics",1265471,"Pitbull & Ne-Yo"
"Love Me Like You Do",665379,"Love Me Like You Do","https://genius.com/Ellie-goulding-love-me-like-you-do-lyrics",1838,"Ellie Goulding"
"Want to Want Me",720259,"Want to Want Me","https://genius.com/Jason-derulo-want-to-want-me-lyrics",17764,"Jason Derulo"
"Outside",3120650,"Catch Me Outside","https://genius.com/Ski-mask-the-slump-god-catch-me-outside-lyrics",396531,"Ski Mask the Slump God"
"Shut Up and Dance",474036,"Shut Up and Dance","https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics",20425,"WALK THE MOON"
"I Want You to Know",709053,"I Want You to Know (Ft. Selena Gomez)","https://genius.com/Zedd-i-want-you-to-know-lyrics",24215,"Zedd"
"Dear Future Husband",513887,"Dear Future Husband","https://genius.com/Meghan-trainor-dear-future-husband-lyrics",201194,"Meghan Trainor"
"Centuries",515319,"Centuries","https://genius.com/Fall-out-boy-centuries-lyrics",7811,"Fall Out Boy"
"FourFiveSeconds",690706,"FourFiveSeconds","https://genius.com/Rihanna-kanye-west-and-paul-mccartney-fourfiveseconds-lyrics",1586713,"Rihanna, Kanye West & Paul McCartney"
"Photograph",451776,"Photograph","https://genius.com/Ed-sheeran-photograph-lyrics",12418,"Ed Sheeran"
"Sorry",2323822,"Sorry","https://genius.com/Justin-bieber-sorry-lyrics",357,"Justin Bieber"
"Hello",2332455,"Hello","https://genius.com/Adele-hello-lyrics",2300,"Adele"
"Cheap Thrills",2391084,"Cheap Thrills","https://genius.com/Sia-cheap-thrills-lyrics",16775,"Sia"
"Ride",725792,"Ride","https://genius.com/Twenty-one-pilots-ride-lyrics",23796,"​twenty one pilots"
"Me, Myself & I",2329765,"Me, Myself & I","https://genius.com/G-eazy-and-bebe-rexha-me-myself-and-i-lyrics",1839646,"G-Eazy & Bebe Rexha"
"Don't Mind",3431422,"Hayaan Mo Sila (Don't Mind Them) (Ft. O.C. Dawgs)","https://genius.com/Ex-battalion-hayaan-mo-sila-dont-mind-them-lyrics",1226564,"Ex Battalion"
"Never Be Like You",2407925,"Never Be Like You (Ft. Kai)","https://genius.com/Flume-never-be-like-you-lyrics",49449,"Flume"
"Sit Still, Look Pretty",2374092,"Sit Still, Look Pretty","https://genius.com/Daya-sit-still-look-pretty-lyrics",508218,"Daya"
"Cold Water",2481759,"Cold Water (Ft. Justin Bieber & MØ)","https://genius.com/Major-lazer-cold-water-lyrics",665,"Major Lazer"
"Try Everything",2399497,"Try Everything","https://genius.com/Shakira-try-everything-lyrics",1405,"Shakira"
"Lost Boy",697785,"Lost Boy","https://genius.com/Ruth-b-lost-boy-lyrics",326061,"Ruth B."
"Let Me Love You",2819412,"Let Me Love You (Ft. Justin Bieber)","https://genius.com/Dj-snake-let-me-love-you-lyrics",41287,"DJ Snake"
"Honest",201881,"Honest","https://genius.com/Future-honest-lyrics",2197,"Future"
"Crying in the Club",3088967,"Crying in the Club","https://genius.com/Camila-cabello-crying-in-the-club-lyrics",609667,"Camila Cabello"
"2U",3114109,"2U (Ft. Justin Bieber)","https://genius.com/David-guetta-2u-lyrics",2578,"David Guetta"
"Juju on That Beat",2855384,"JuJu On That Beat (TZ Anthem) (Ft. Zayion McCall)","https://genius.com/Zay-hilfigerrr-juju-on-that-beat-tz-anthem-lyrics",1015048,"Zay Hilfigerrr"
"How Far I'll Go",2894765,"How Far I'll Go (Ft. Auli'i Cravalho)","https://genius.com/Walt-disney-records-how-far-ill-go-lyrics",32992,"Walt Disney Records"
"The Middle",3430424,"The Middle","https://genius.com/Zedd-maren-morris-and-grey-the-middle-lyrics",1462900,"Zedd, Maren Morris & Grey"
"Let Me Go",3220630,"Let Me Go (Ft. Florida Georgia Line & ​watt)","https://genius.com/Hailee-steinfeld-and-alesso-let-me-go-lyrics",1659828,"Hailee Steinfeld & Alesso"
"Mine",3720959,"All Mine","https://genius.com/Kanye-west-all-mine-lyrics",72,"Kanye West"
"Senorita",4641031,"Señorita","https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics",1740394,"Shawn Mendes & Camila Cabello"
