"bad_word","category","firstAppear","firstCensored","numPresent","numCensored"
"ass","profanity",2002,2002,15,15
"bang","sexual",2004,2004,8,4
"beer","alcohol & drugs",2009,2009,1,1
"bitch","profanity",2002,2002,19,19
"blood","violence",2001,2001,15,5
"blow","alcohol & drugs",2002,2002,21,6
"booty","sexual",2012,2015,5,4
"bottle","alcohol & drugs",2012,2018,3,1
"bullet","violence",2001,2010,5,4
"champagne","alcohol & drugs",2001,2007,11,9
"chest","sexual",2008,2012,10,4
"cigarette","alcohol & drugs",2009,2009,3,3
"coke","alcohol & drugs",2001,2004,3,2
"crazy","mental health",2001,2003,66,7
"dammit","profanity",2009,2009,2,1
"damn","profanity",2003,2003,37,32
"devil","religious",2001,2008,4,1
"dope","alcohol & drugs",2002,2007,5,3
"drink","alcohol & drugs",2001,2009,44,30
"drink","alcohol & drugs",2001,2009,44,30
"drug","alcohol & drugs",2010,2013,5,4
"drunk","alcohol & drugs",2006,2006,15,15
"fuck","profanity",2002,2002,20,20
"gang","violence",2004,2007,4,3
"gay","gender & sexuality",2011,2011,1,1
"god","religious",2001,2002,36,19
"grind","sexual",2005,2018,4,1
"gun","violence",2010,2010,7,6
"hell","profanity",2004,2004,31,16
"high","alcohol & drugs",2001,2002,53,15
"insane","mental health",2001,2015,9,1
"intoxicate","alcohol & drugs",2004,2004,1,1
"jesus","religious",2016,2016,1,1
"juice","alcohol & drugs",2004,2004,4,3
"kill","violence",2007,2008,10,5
"kiss","sexual",2001,2008,48,18
"knife","violence",2014,2014,4,2
"lesbian","gender & sexuality",2011,2011,1,1
"lips","sexual",2001,2010,25,6
"liquor","alcohol & drugs",2012,2012,5,5
"man","gender & sexuality",2001,2001,84,29
"masturbate","sexual",2017,2017,1,1
"men","gender & sexuality",2001,2002,8,5
"molly","alcohol & drugs",2013,2013,2,2
"murder","violence",2002,2002,3,2
"nigga","slur",2002,2002,8,6
"overdose","alcohol & drugs",2010,2010,3,3
"pill","alcohol & drugs",2001,2014,5,2
"pimp","sexual",2010,2010,3,3
"pussy","sexual",2002,2002,1,1
"sex","sexual",2010,2010,6,5
"shit","profanity",2002,2002,46,46
"skin","sexual",2002,2002,26,8
"smoke","alcohol & drugs",2005,2005,6,4
"smoking","alcohol & drugs",2001,2009,4,3
"tattoo","other",2008,2010,8,4
"touch","sexual",2001,2002,47,19
"transgender","gender & sexuality",2011,2011,1,1
"trigger","violence",2007,2015,2,1
"vodka","alcohol & drugs",2011,2011,3,2
"wine","alcohol & drugs",2015,2015,3,3
"woman","gender & sexuality",2002,2007,14,8
"women","gender & sexuality",2003,2003,4,4
