bad_word,numSongs,category,,
NA,6469,,,
shit,57,profanity,^shit,
ass,43,profanity,^ass$,
fuck,41,profanity,fuck,
damn,35,profanity,^damn,
bitch,32,profanity,^bitch,
god,30,religious,^god,
hell,30,profanity,^hell$,
kiss,28,sexual,^kiss,
touch,27,sexual,^touch,
drink,26,alcohol & drugs,^drink,
drink,26,alcohol & drugs,^drink,
kill,19,violence,^kill,
blow,17,alcohol & drugs,^blow,
crazy,17,mental health,^crazy$,
sex,17,sexual,^sex,
drunk,15,alcohol & drugs,^drunk,
nigga,14,slur,^nigga,
skin,12,sexual,^skin$,
champagne,9,alcohol & drugs,^champagne$,
gun,9,violence,^gun$,
pill,9,alcohol & drugs,^pill$,
tit,7,sexual,^tit$,
bang,6,sexual,^bang$,
overdose,6,alcohol & drugs,^overdose,
booty,5,sexual,^booty,
bottle,5,alcohol & drugs,^bottle,
bullet,5,violence,^bullet,
chest,5,sexual,^chest,
gang,5,violence,^gang,
liquor,5,alcohol & drugs,^liquor,
dope,4,alcohol & drugs,^dope,
drug,4,alcohol & drugs,^drug,
pimp,4,sexual,^pimp,
butt,3,sexual,^butt$,
devil,3,religious,^devil,
wine,3,alcohol & drugs,^wine$,
christ,2,religious,^christ$,
dammit,2,profanity,^dammit$,
intoxicate,2,alcohol & drugs,^intoxicate,
murder,2,violence,^murder,
beer,1,alcohol & drugs,^beer,
cock,1,sexual,^cock,
grind,1,sexual,^grind,
jesus,1,religious,^jesus,
pussy,1,sexual,^pussy,
retard,1,slur,^retard,
trigger,1,violence,^trigger,
alcohol,0,alcohol & drugs,^alcohol,
breast,0,sexual,^breast,
gay,,gender & sexuality,^gay$,
lesbian,,gender & sexuality,^lesbian,
transgender,,gender & sexuality,^transgender,
molly,,alcohol & drugs,^molly$,
mdma,,alcohol & drugs,^mdma^,
coke,,alcohol & drugs,^coke$,
cocaine,,alcohol & drugs,^cocaine$,
meth,,alcohol & drugs,^meth$,
vodka,,alcohol & drugs,^vodka,
tequila,,alcohol & drugs,^tequila,
heroine,,alcohol & drugs,^heroine,
insane,,mental health,^insane,
suicide,,mental health,^suicide,
knife,,violence,^knife,
stab,,violence,^stab$,
blood,,violence,^blood,
man,,gender & sexuality,^man$,
woman,,gender & sexuality,^woman$,
men,,gender & sexuality,^men$,
women,,gender & sexuality,^women$,
high,,alcohol & drugs,^high$,
tattoo,,other,^tattoo,
smoke,,alcohol & drugs,^smoke,
smoking,,alcohol & drugs,^smoking,
juice,,alcohol & drugs,^juice$,
cigarette,,alcohol & drugs,^cigarette,
masturbate,,sexual,^mastrubate,
lips,,sexual,^lips$,
hellish,,profanity,^hellish$,START HERE
crazier,,mental health,^crazier$,
craziest,,mental health,^craziest$,
guns,,violence,^guns$,
pills,,alcohol & drugs,^pills$,
tits,,sexual,^tits$,
butts,,sexual,^butts$,
pussies,,sexual,^pussies$,
insanity,,mental health,^insanity$,
stabs,,violence,^stabs$,
stabbed,,violence,^stabbed$,
stabbing,,violence,^stabbing$,
gentleman,,gender & sexuality,^gentleman$,
gentlemen,,gender & sexuality,^gentlemen$,
addict,,alcohol & drugs,^addict,
amen,,religious,^amen,
amnesia,,mental health,^amnesia,
antidepressor,,mental health,^antideppressor,
apeshit,,profanity,^apeshit,
ball,,other,^ball,
bed,,sexual,^bed$,
bikini,,sexual,^bikini,
bipolar,,mental health,^bipolar,
bleed,,violence,^bleed,
bedroom,,sexual,^bedroom,
ballin,,other,^ballin,
baller,,other,^baller,
beds,,sexual,^beds$,
bless,,religious,^bless,
blew,,sexual,^blew$,
bloodstain,,violence,^bloodstain,
blunt,,alcohol & drugs,^blut,
body,,sexual,^body$,
bodies,,sexual,^bodies$,
bomb,,violence,^bomb,
boob,,sexual,^boob,
booty,,sexual,^booty,
bra,,sexual,^bra$,
bras,,sexual,^bras$,
bubbles,,alcohol & drugs,^bubbles$,
bullet,,violence,^bullet,
bun,,sexual,^bun$,
buns,,sexual,^buns$,
casino,,other,^casino,
christian,,religious,^christian,
chronic,,alcohol & drugs,^chronic,
club,,other,^club$,
clubs,,other,^clubs$,
clothes,,sexual,^clothes$,
coma,,mental health,^coma$,
counterfeit,,other,^counterfeit,
coochie,,sexual,^coochie,
crap,,profanity,^crap$,
creep,,other,^creep,
crime,,violence,^crime,
criminal,,violence,^crimnal,
crystal,,alcohol & drugs,^crystal,
curve,,sexual,^curve,
cut,,violence,^cut$,
cuts,,violence,^cuts$,
cutthroat,,violence,^cutthroat$,
cuttin,,violence,^cuttin,
dead,,violence,^dead$,
death,,violence,^death$,
demon,,religious,^demon,
diablo,,religious,^diablo,
dick,,sexual,^dick,
die,,violence,^die$,
dies,,violence,^dies$,
dirtier,,sexual,^dirtier$,
dirty,,sexual,^dirty$,
dong,,sexual,^dong,
donk,,sexual,^dnnk,
dope,,alcohol & drugs,^dope,
drank,,alcohol & drugs,^drank,
drug,,alcohol & drugs,^drug,
ecstasy,,alcohol & drugs,^ecstasy,
evil,,religious,^evil,
faith,,religious,^faith$,
fetish,,other,^fetish,
fight,,violence,^fight,
freak,,sexual,^freak,
gin,,alcohol & drugs,^gin$,
hella,,profanity,^hella$,
hennessy,,alcohol & drugs,^hennessy$,
henny,,alcohol & drugs,^henny$,
hips,,sexual,^hips$,
hip,,sexual,^hip$,
holy,,alcohol & drugs,^holy$,
hookah,,alcohol & drugs,^hookah$,
hustl,,other,^hustl$,
ice,,alcohol & drugs,^ice$,
illegal,,violence,^illegal,
ink,,other,^ink$,
jack,,alcohol & drugs,^jack$,
knife,,violence,^knife,
knives,,violence,^knives,
leg,,sexual,^leg$,
legs,,sexual,^legs$,
lighter,,alcohol & drugs,^lighter,
lighters,,alcohol & drugs,^lighters,
lip,,sexual,^lip$,
lord,,religious,^lord$,
maniac,,mental health,^maniac,
marijuana,,alcohol & drugs,^marijuana,
martini,,alcohol & drugs,^martini,
medicate,,mental health,^medicate,
bars,,alcohol & drugs,^bars$,
bar,,alcohol & drugs,^bar$,
moonshine,,alcohol & drugs,^moonshine,
naked,,sexual,^naked,
neck,,sexual,^neck$,
panties,,sexual,^panties$,
piss,,profanity,^piss,
poison,,violence,^poison,
pot,,alcohol & drugs,^pot$,
pour,,alcohol & drugs,^pour,
pray,,religious,^pray,
priest,,religious,^priest,
prosecco,,alcohol & drugs,^prosecco$,
psycho,,mental health,^psycho,
puff,,alcohol & drugs,^puff,
punch,,violence,^punch,
rum,,alcohol & drugs,^rum$,
sake,,alcohol & drugs,^sake$,
sanity,,mental health,^sanity$,
savage,,slur,^savage,
scalpel,,violence,^scalpel,
scrotum,,sexual,^scrotum,
sin,,religious,^sin$,
sins,,religious,^sins$,
sinning,,religious,^sinning$,
sinner,,religious,^sinner$,
sip,,alcohol & drugs,^sip$,
sippin,,alcohol & drugs,^sippin,
skirt,,sexual,skirt,
dress,,sexual,^dress$,
slap,,violence,^slap,
slay,,violence,^slay,
sleep,,sexual,^sleep,
sober,,alcohol & drugs,^sober,
spirits,,alcohol & drugs,^spirits$,
suicidal,,mental health,^suicidal$,
thigh,,sexual,^thigh,
thug,,violence,^thug,
tongue,,sexual,^tongue,
toxic,,mental health,^toxic,
underwear,,sexual,^underwear,
undress,,sexual,^undress,
unholy,,religious,^unholy,
victim,,violence,^victim,
vodka,,alcohol & drugs,^vodka,
war,,violence,^war$,
waterbed,,sexual,^waterbed$,
weapon,,violence,^weapon,
whiskey,,alcohol & drugs,^whiskey,
