"kbID","song","kb_song_name","og_idx"
"1","ass","1985",2
"1","nothing has alright since bruce","1985",2
"1","shes","1985",2
"1","1985","1985",2
"1","classics","1985",2
"1","saint","1985",2
"1","wham","1985",2
"1","miniskirt","1985",2
"1","reality become","1985",2
"1","sitcoms game shows","1985",2
"1","mötley crüe","1985",2
"10","whats
+whats
 the
 problem
baby whats","accidentally in love",570
"10","love","accidentally in love",570
"10","it","accidentally in love",570
"10","thinking","accidentally in love",570
"10","nothing love no","accidentally in love",570
"10","on","accidentally in love",570
"10","because","accidentally in love",570
"10","so","accidentally in love",570
"10","running","accidentally in love",570
"10","coming","accidentally in love",570
"10","melting","accidentally in love",570
"10","belting","accidentally in love",570
"10","escaping","accidentally in love",570
"10","oh","accidentally in love",570
"10","alone","accidentally in love",570
"10",NA,"accidentally in love",570
"100",NA,"chasing cars",90
"100",NA,"chasing cars",90
"100","your grace remind find my","chasing cars",90
"101","stay","cheerleader",92
"101","always in","cheerleader",92
"101","there","cheerleader",92
"101","other girls","cheerleader",92
"101","tempting","cheerleader",92
"101","cheating","cheerleader",92
"101","cause","cheerleader",92
"101","walks","cheerleader",92
"101","grants","cheerleader",92
"101","wizard of","cheerleader",92
"101","got magic","cheerleader",92
"101","no","cheerleader",92
"102","i","chicken noodle soup",93
"102","i let it i clear rain i","chicken noodle soup",93
"102","from gwangju one gang of youknowwhat geumnam chungjang street thats my harlem joined neuron bounce team ayy went head over heels for dancing workaholic everyday as teen grew up pulling allnighters case height is measured by dance im okay grand vision plan im going to draw kid who goes shape his dream steps stomping rhythm popping rocking hopping tutting dougie flexing swaggin woah still do work everyday asap own sake always whipping myself carrots are trophies betting life dancing cash hope now its way becky g lit get it! we got love where come so em know whats up ooh no matter wherever go bring back this place called home babe that you me see ooh ooh what what noodle or spaghetti none these women have flow has latin american here face saint but freaky will tell what ive already seen huh","chicken noodle soup",93
"102","born they didnt think woman stand gonna do do what what","chicken noodle soup",93
"102","it lights camera action definitely best scene word people reactin criticize just feel sorry haha got love where from whats","chicken noodle soup",93
