"kbID","og_idx","censored_phrase","kb_song_name","og_artist","og_release","kb_release"
1,2,"ass","1985","Bowling for Soup","2004-07-27",NA
1,2,"nothing has alright since bruce","1985","Bowling for Soup","2004-07-27",NA
1,2,"shes","1985","Bowling for Soup","2004-07-27",NA
1,2,"1985","1985","Bowling for Soup","2004-07-27",NA
1,2,"classics","1985","Bowling for Soup","2004-07-27",NA
1,2,"saint","1985","Bowling for Soup","2004-07-27",NA
1,2,"wham","1985","Bowling for Soup","2004-07-27",NA
1,2,"miniskirt","1985","Bowling for Soup","2004-07-27",NA
1,2,"reality become","1985","Bowling for Soup","2004-07-27",NA
1,2,"sitcoms game shows","1985","Bowling for Soup","2004-07-27",NA
1,2,"mötley crüe","1985","Bowling for Soup","2004-07-27",NA
2,3,"na","1 thing","Amerie","2005-01-05",NA
2,3,"na","1 thing","Amerie","2005-01-05",NA
2,3,"one","1 thing","Amerie","2005-01-05",NA
2,3,"thats","1 thing","Amerie","2005-01-05",NA
2,3,"feelin","1 thing","Amerie","2005-01-05",NA
2,3,"why picking up cell","1 thing","Amerie","2005-01-05",NA
2,3,"its","1 thing","Amerie","2005-01-05",NA
2,3,"nothing left do","1 thing","Amerie","2005-01-05",NA
3,1,"uhuh uhuh","22","Taylor Swift","2012-10-22",NA
3,1,"time ohoh","22","Taylor Swift","2012-10-22",NA
3,1,"you","22","Taylor Swift","2012-10-22",NA
3,1,"me","22","Taylor Swift","2012-10-22",NA
3,1,"ooh","22","Taylor Swift","2012-10-22",NA
3,1,"i you","22","Taylor Swift","2012-10-22",NA
3,1,"ooh whoa dancing like yeah yeah yeah","22","Taylor Swift","2012-10-22",NA
4,5,"tonight i just want to take you higher throw your hands up in the sky lets set this party off right players","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"girls","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"24 karat magic air","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"so","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"look out! pop pop","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,NA,"24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"minks","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"shit","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"man","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"girls","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"waking rocket","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"players only","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"second verse for hustlas hustlas gangstas gangstas bad bitches ugly ass friends haha can preach uh oh gotta em how pimp get it first sip sip do dip dip spend like shit fresh got blame jesus hashtag blessed","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"hey","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"whats that sound","24k magic","Bruno Mars","2016-10-07","2016-12-16"
4,5,"out magic","24k magic","Bruno Mars","2016-10-07","2016-12-16"
5,7,"four","4 minutes","Madonna","2008-03-17",NA
5,7,"fikki fikki minutes aye! four four ow cmon ah yeah ha breakdown","4 minutes","Madonna","2008-03-17",NA
5,7,"uh cmon madonna","4 minutes","Madonna","2008-03-17",NA
5,7,NA,"4 minutes","Madonna","2008-03-17",NA
5,7,"wanna roll","4 minutes","Madonna","2008-03-17",NA
5,7,NA,"4 minutes","Madonna","2008-03-17",NA
5,7,"this","4 minutes","Madonna","2008-03-17",NA
5,7,"come get","4 minutes","Madonna","2008-03-17",NA
5,7,"imma","4 minutes","Madonna","2008-03-17",NA
5,7,"world!","4 minutes","Madonna","2008-03-17",NA
5,7,"then girl! heh afour minutes so","4 minutes","Madonna","2008-03-17",NA
5,7,"pri hey! ma donna uh em on","4 minutes","Madonna","2008-03-17",NA
5,7,"tick","4 minutes","Madonna","2008-03-17",NA
5,7,"thats right","4 minutes","Madonna","2008-03-17",NA
5,7,"you","4 minutes","Madonna","2008-03-17",NA
5,7,"its","4 minutes","Madonna","2008-03-17",NA
5,7,"oh hey","4 minutes","Madonna","2008-03-17",NA
5,7,"hell","4 minutes","Madonna","2008-03-17",NA
5,7,"good","4 minutes","Madonna","2008-03-17",NA
5,7,"me","4 minutes","Madonna","2008-03-17",NA
5,7,"already tock world","4 minutes","Madonna","2008-03-17",NA
6,8,"and bottles of bubbles","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"tattoos","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"my","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"some bad shit i","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"a sad bitch","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"calls","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"yeah","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"flossy","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"it","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"for six bitches","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"addiction","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"they","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"the","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"know","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"his hers baby","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"ass","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"juice","7 rings","Ariana Grande","2019-01-18","2019-04-05"
6,8,"yep","7 rings","Ariana Grande","2019-01-18","2019-04-05"
7,9,"sha","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"weve","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"we","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,NA,"7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"you hear","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"seven","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"you oh youre","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"know","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"know","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"seventh","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"now","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"clear clear","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"here","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"hand","7 things","Miley Cyrus","2008-06-17","2009-02-03"
7,9,"sha do oh oohoohoohooh oohoohooh la la la","7 things","Miley Cyrus","2008-06-17","2009-02-03"
8,10,"smoking herb","7 years","Lukas Graham","2015-06-16",NA
8,10,"drinking burning liquor","7 years","Lukas Graham","2015-06-16",NA
8,10,"out","7 years","Lukas Graham","2015-06-16",NA
8,10,"11","7 years","Lukas Graham","2015-06-16",NA
8,10,"20","7 years","Lukas Graham","2015-06-16",NA
8,10,"lukas graham!!!","7 years","Lukas Graham","2015-06-16",NA
8,10,"bout","7 years","Lukas Graham","2015-06-16",NA
8,10,"30","7 years","Lukas Graham","2015-06-16",NA
8,10,"woman brought","7 years","Lukas Graham","2015-06-16",NA
8,10,"60 61","7 years","Lukas Graham","2015-06-16",NA
8,10,"hold","7 years","Lukas Graham","2015-06-16",NA
9,569,"world","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"looks","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"real","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"shoes","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"now","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"every all day","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"or choose","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"too","absolutely (story of a girl)","Nine Days",NA,NA
9,569,"shoes lonely","absolutely (story of a girl)","Nine Days",NA,NA
10,570,"whats
+whats
 the
 problem
baby whats","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"love","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"it","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"thinking","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"nothing love no","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"on","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"because","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"so","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"running","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"coming","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"melting","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"belting","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"escaping","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"oh","accidentally in love","Counting Crows","2004-05-11",NA
10,570,"alone","accidentally in love","Counting Crows","2004-05-11",NA
10,570,NA,"accidentally in love","Counting Crows","2004-05-11",NA
11,571,NA,"ain't it fun","Paramore","2013-04-09",NA
11,571,"could","ain't it fun","Paramore","2013-04-09",NA
11,571,"bell","ain't it fun","Paramore","2013-04-09",NA
11,571,"easy","ain't it fun","Paramore","2013-04-09",NA
11,571,"fool","ain't it fun","Paramore","2013-04-09",NA
11,571,"cause you to mother dont crying mama this is world this youre own crying","ain't it fun","Paramore","2013-04-09",NA
12,14,"smashin","airplanes","B.o.B","2010-04-13",NA
12,14,"that","airplanes","B.o.B","2010-04-13",NA
12,14,"tryna","airplanes","B.o.B","2010-04-13",NA
12,14,"hell","airplanes","B.o.B","2010-04-13",NA
12,14,"mixtape","airplanes","B.o.B","2010-04-13",NA
12,14,"decatur—whats","airplanes","B.o.B","2010-04-13",NA
12,14,"shit","airplanes","B.o.B","2010-04-13",NA
12,14,"like stars wish","airplanes","B.o.B","2010-04-13",NA
13,15,"i know that we are young and you may love me but just cant be with like this anymore alejandro","alejandro","Lady Gaga","2010-04-20",NA
13,15,NA,"alejandro","Lady Gaga","2010-04-20",NA
13,15,"around","alejandro","Lady Gaga","2010-04-20",NA
13,15,"hot","alejandro","Lady Gaga","2010-04-20",NA
13,15,"ive","alejandro","Lady Gaga","2010-04-20",NA
13,15,"babe","alejandro","Lady Gaga","2010-04-20",NA
13,15,"kiss touch smoke cigarette","alejandro","Lady Gaga","2010-04-20",NA
13,15,"alejandro","alejandro","Lady Gaga","2010-04-20",NA
13,15,"alealejandro stop please let go","alejandro","Lady Gaga","2010-04-20",NA
13,15,"dad dad","alejandro","Lady Gaga","2010-04-20",NA
13,15,"firefight","alejandro","Lady Gaga","2010-04-20",NA
13,15,"me name","alejandro","Lady Gaga","2010-04-20",NA
13,15,"babe kiss dont name im babe fernando touch just hush roberto","alejandro","Lady Gaga","2010-04-20",NA
14,16,"every day","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"all cause could","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"i granted","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"now you","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"so love","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"for time","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"and","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"alive","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"sunshine face","alive","P.O.D.","2001-07-04","2003-03-04"
14,16,"tell inside","alive","P.O.D.","2001-07-04","2003-03-04"
14,17,"and","alive","Krewella","2012-06-18","2003-03-04"
14,17,"alive","alive","Krewella","2012-06-18","2003-03-04"
14,17,"sunshine face","alive","Krewella","2012-06-18","2003-03-04"
14,17,"tell inside","alive","Krewella","2012-06-18","2003-03-04"
14,17,"every day","alive","Krewella","2012-06-18","2003-03-04"
14,17,"all cause could","alive","Krewella","2012-06-18","2003-03-04"
14,17,"i granted","alive","Krewella","2012-06-18","2003-03-04"
14,17,"now you","alive","Krewella","2012-06-18","2003-03-04"
14,17,"so love","alive","Krewella","2012-06-18","2003-03-04"
14,17,"for time","alive","Krewella","2012-06-18","2003-03-04"
15,18,"boom","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"junk","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"magazines working","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"shit","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"come on","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"it","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"momma","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"a little more booty hold +dont
+let
+keep
 at
night
that
booty
uh
booty
+home
+room
+night","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"stickfigure silicone","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"whats","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"hey","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
15,18,"bitches","all about that bass","Meghan Trainor","2014-06-30","2015-01-13"
16,572,"living","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"love… ohohoh uh","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"my go","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"i understand just chillin","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"actin","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"leaving uh","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"come on yo uh","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"bouncing","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"what want baby","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"on now","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"holding down","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"good","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"dont baby","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"needing","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"path chose","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"your","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"coming","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"uh","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"settling","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"creepin","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"yeah","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"right","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"here","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"playing haha aw gaming want","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"acting that","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"oh homie","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"beefin","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"nothing","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"chill","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"way ahead baby go","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
16,572,"feeling bounce alone youre everything me you mean we mistakes sayin i still ill always","all i have","Jennifer Lopez","2002-12-14","2003-08-12"
17,19,"kickin","all of me","John Legend","2013-08-12",NA
